#,NAME,NAME ARABIC,TYPE EN,TYPE AR,SUBTYPE EN,SUBTYPE AR,BLOCK,POINT_X_Longitude,POINT_Y_Latitude
89,KIDZ WORLD KINDERGARTEN,روضة عالم الأطفال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,327,50.58592093,26.2150491999999
90,KINDERGARTEN BAHRAIN CLUB MODEL,روضة نادي البحرين النموذجية ,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,223,50.61120245,26.26167551
91,LITTLE EXPLORER KINDERGARTEN ,روضة المستكشف الصغير,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,107,50.6527448399999,26.23809577
92,MADELEINES KINDERGARTEN,روضة مادلين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,332,50.58224947,26.2112630799999
93,MAJID AL ZAYANI KINDERGARTEN,روضة ماجد الزياني,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,914,50.55175776,26.13354985
94,MUHARRAQ CLUB KINDERGARTEN,روضة نادي المحرق,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,240,50.6279577999999,26.2551922
95,NOOR ALMAARIF KINDERGARTEN,روضة نور المعارف,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1204,50.50881153,26.13262127
96,RUFAIDA KINDERGARTEN,روضة رفيدة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,325,50.58945545,26.2220548399999
97,SACRED HEART SCHOOL - KINDERGARTEN,مدرسة القلب المقدس - روضة أطفال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,307,50.5801839599999,26.22663417
98,SAFA KINDERGARTEN,روضة صفا ,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,212,50.6211310099999,26.2522986
99,SARAH KINDERGARTEN,روضة سارة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,709,50.55323312,26.18000009
100,SEDRAT ALASAFEER KINDERGARTEN,روضة سدرة العصافير,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,241,50.63765739,26.25317279
101,SINDIBAD KINDERGARTEN,روضة السندباد,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,752,50.50656412,26.1488525199999
102,SMALL STARS KINDERGARTEN,روضة النجوم الصغيرة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,923,50.57169179,26.13309642
103,SMALL WORLD KINDERGARTEN,روضة العالم الصغير,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,444,50.51720944,26.2289420799999
104,SMART START KINDERGARTEN,روضة البداية الذكية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,939,50.5776528299999,26.13350829
105,TAREEQ AL KHAIR KINDERGARTEN,روضة طريق الخير,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,233,50.63076052,26.2822306099999
106,THE BUDAIYA PRE-SCHOOL,حضانة البديع,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,517,50.4863392,26.2056570899999
107,THE EARLY KINDERGARTEN,روضة الأوائل,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,705,50.54774183,26.18367297
108,THE LEARNING TREE NURSERY & KINDERGARTEN,روضة وحضانة شجرة التعليم,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1014,50.47500326,26.14491606
109,TINY TIPS PRE SCHOOL,روضة الأنامل الصغيرة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,336,50.59210375,26.20796577
