geo_id,year,deped_id,total_teacher_male,total_teacher_female,total_teachers,total_student_male,total_student_female,total_student_enrollment
HND-000364,2010,10400174,6,8,14,105.0,92.0,197.0
HND-000366,2010,10400184,2,1,3,38.0,46.0,84.0
HND-000367,2010,10400188,1,1,2,23.0,15.0,38.0
HND-000368,2010,10400189,0,1,1,16.0,10.0,26.0
HND-000369,2010,10400190,0,1,1,17.0,1.0,18.0
HND-000370,2010,10400191,0,1,1,16.0,7.0,23.0
HND-000374,2010,10400215,0,1,1,11.0,10.0,21.0
HND-000375,2010,10400216,0,1,1,13.0,16.0,29.0
HND-000376,2010,10400217,0,1,1,10.0,11.0,21.0
HND-000377,2010,10400218,0,1,1,10.0,7.0,17.0
HND-000387,2010,10500003,1,20,21,205.0,195.0,400.0
HND-000388,2010,10500004,1,1,2,25.0,33.0,58.0
HND-000389,2010,10500005,0,1,1,13.0,6.0,19.0
HND-000390,2010,10500006,1,0,1,27.0,19.0,46.0
HND-000391,2010,10500007,1,0,1,13.0,16.0,29.0
HND-000392,2010,10500008,1,2,3,23.0,43.0,66.0
HND-000393,2010,10500009,1,2,3,48.0,43.0,91.0
HND-000394,2010,10500010,1,2,3,27.0,35.0,62.0
HND-000395,2010,10500013,3,8,11,129.0,119.0,248.0
HND-000396,2010,10500014,0,2,2,27.0,25.0,52.0
HND-000397,2010,10500015,6,5,11,97.0,108.0,205.0
HND-000398,2010,10500016,1,2,3,48.0,49.0,97.0
HND-000399,2010,10500017,3,3,6,84.0,67.0,151.0
HND-000400,2010,10500018,1,0,1,11.0,12.0,23.0
HND-000401,2010,10500019,3,3,6,74.0,69.0,143.0
HND-000402,2010,10500021,0,3,3,51.0,43.0,94.0
HND-000403,2010,10500022,1,1,2,41.0,43.0,84.0
HND-000404,2010,10500023,6,18,24,199.0,208.0,407.0
HND-000405,2010,10500024,2,7,9,116.0,111.0,227.0
HND-000406,2010,10500025,2,2,4,20.0,30.0,50.0
HND-000407,2010,10500026,1,0,1,9.0,9.0,18.0
HND-000408,2010,10500027,1,0,1,20.0,25.0,45.0
HND-000409,2010,10500028,0,2,2,18.0,26.0,44.0
HND-000410,2010,10500029,0,1,1,5.0,6.0,11.0
HND-000411,2010,10500030,0,1,1,13.0,11.0,24.0
HND-000412,2010,10500031,0,2,2,6.0,9.0,15.0
HND-000413,2010,10500032,0,1,1,22.0,8.0,30.0
HND-000414,2010,10500033,0,2,2,27.0,29.0,56.0
HND-000415,2010,10500034,2,3,5,74.0,77.0,151.0
HND-000416,2010,10500035,3,12,15,203.0,167.0,370.0
HND-000418,2010,10500037,1,0,1,10.0,8.0,18.0
HND-000419,2010,10500038,0,1,1,7.0,5.0,12.0
HND-000420,2010,10500040,0,1,1,18.0,15.0,33.0
HND-000421,2010,10500041,1,0,1,13.0,10.0,23.0
HND-000422,2010,10500042,2,0,2,32.0,19.0,51.0
HND-000432,2010,10500055,0,14,14,123.0,98.0,221.0
HND-000437,2010,10500061,0,1,1,22.0,20.0,42.0
HND-000438,2010,10500064,0,9,9,48.0,49.0,97.0
HND-000439,2010,10500065,0,1,1,24.0,22.0,46.0
HND-000445,2010,10500080,0,8,8,109.0,90.0,199.0
HND-000446,2010,10500083,1,1,2,19.0,22.0,41.0
HND-000450,2010,10500094,1,0,1,11.0,9.0,20.0
HND-000452,2010,10500096,0,2,2,22.0,17.0,39.0
HND-000454,2010,10500116,0,4,4,65.0,60.0,125.0
HND-000455,2010,10500117,0,1,1,16.0,20.0,36.0
HND-000456,2010,10500118,0,3,3,34.0,38.0,72.0
HND-000467,2010,10500142,1,0,1,5.0,11.0,16.0
HND-000468,2010,10500143,6,17,23,297.0,289.0,586.0
HND-000469,2010,10500144,0,1,1,11.0,7.0,18.0
HND-000475,2010,10600002,6,18,24,344.0,285.0,629.0
HND-000478,2010,10600005,0,4,4,44.0,52.0,96.0
HND-000479,2010,10600006,0,2,2,40.0,26.0,66.0
HND-000480,2010,10600007,1,1,2,30.0,29.0,59.0
HND-000483,2010,10600010,1,3,4,37.0,51.0,88.0
HND-000486,2010,10600013,9,21,30,402.0,308.0,710.0
HND-000497,2010,10700003,5,16,21,249.0,270.0,519.0
HND-000498,2010,10700004,0,1,1,7.0,9.0,16.0
HND-000499,2010,10700005,1,1,2,28.0,25.0,53.0
HND-000500,2010,10700007,0,1,1,9.0,17.0,26.0
HND-000501,2010,10700008,1,0,1,27.0,18.0,45.0
HND-000502,2010,10700009,1,23,24,290.0,269.0,559.0
HND-000503,2010,10700010,0,20,20,235.0,240.0,475.0
HND-000504,2010,10700011,2,14,16,126.0,123.0,249.0
HND-000505,2010,10700012,2,12,14,122.0,122.0,244.0
HND-000506,2010,10700013,3,15,18,237.0,184.0,421.0
HND-000507,2010,10700014,1,9,10,81.0,81.0,162.0
HND-000508,2010,10700015,1,1,2,53.0,42.0,95.0
HND-000509,2010,10700016,0,2,2,42.0,53.0,95.0
HND-000510,2010,10700017,5,23,28,292.0,332.0,624.0
HND-000511,2010,10700018,2,15,17,211.0,224.0,435.0
HND-000512,2010,10700019,0,3,3,44.0,36.0,80.0
HND-000513,2010,10700020,0,5,5,68.0,63.0,131.0
HND-000514,2010,10700021,1,0,1,9.0,6.0,15.0
HND-000515,2010,10700022,8,22,30,482.0,513.0,995.0
HND-000516,2010,10700023,4,10,14,137.0,134.0,271.0
HND-000517,2010,10700024,0,5,5,81.0,61.0,142.0
HND-000518,2010,10700025,2,2,4,29.0,35.0,64.0
HND-000519,2010,10700026,1,1,2,27.0,30.0,57.0
HND-000520,2010,10700027,1,2,3,49.0,32.0,81.0
HND-000521,2010,10700028,1,6,7,88.0,91.0,179.0
HND-000522,2010,10700029,0,3,3,41.0,42.0,83.0
HND-000523,2010,10700030,1,4,5,47.0,58.0,105.0
HND-000524,2010,10700031,0,2,2,34.0,44.0,78.0
HND-000526,2010,10700033,0,2,2,37.0,29.0,66.0
HND-000527,2010,10700034,6,12,18,128.0,130.0,258.0
HND-000528,2010,10700035,0,3,3,43.0,32.0,75.0
HND-000529,2010,10700036,0,3,3,55.0,51.0,106.0
HND-000530,2010,10700037,3,1,4,51.0,59.0,110.0
HND-000531,2010,10700038,3,7,10,123.0,129.0,252.0
HND-000532,2010,10700039,1,2,3,37.0,32.0,69.0
HND-000533,2010,10700040,1,2,3,61.0,52.0,113.0
HND-000534,2010,10700041,4,3,7,90.0,92.0,182.0
HND-000535,2010,10700042,0,1,1,15.0,8.0,23.0
HND-000536,2010,10700043,0,2,2,55.0,30.0,85.0
HND-000537,2010,10700044,3,4,7,84.0,77.0,161.0
HND-000539,2010,10700046,1,0,1,15.0,14.0,29.0
HND-000540,2010,10700047,3,14,17,244.0,238.0,482.0
HND-000541,2010,10700048,2,0,2,7.0,5.0,12.0
HND-000542,2010,10700049,1,0,1,12.0,16.0,28.0
HND-000543,2010,10700050,0,1,1,12.0,14.0,26.0
HND-000544,2010,10700051,1,0,1,10.0,9.0,19.0
