geo_id,year,student_enrollment,female_student_enrollment,male_student_enrollment,num_teachers,st_ratio
ZAF-000200,2022,1491,,,43,34.674418604651166
ZAF-000201,2022,858,,,34,25.235294117647058
ZAF-000202,2022,1087,,,29,37.48275862068966
ZAF-000203,2022,258,,,14,18.428571428571427
ZAF-000204,2022,896,,,29,30.896551724137932
ZAF-000205,2022,264,,,19,13.894736842105264
ZAF-000206,2022,410,,,23,17.82608695652174
ZAF-000207,2022,148,,,10,14.8
ZAF-000208,2022,81,,,10,8.1
ZAF-000209,2022,94,,,9,10.444444444444445
ZAF-000210,2022,327,,,10,32.7
ZAF-000211,2022,718,,,21,34.19047619047619
ZAF-000212,2022,425,,,14,30.357142857142858
ZAF-000213,2022,385,,,14,27.5
ZAF-000214,2022,309,,,11,28.09090909090909
ZAF-000215,2022,202,,,9,22.444444444444443
ZAF-000216,2022,1483,,,42,35.30952380952381
ZAF-000217,2022,446,,,16,27.875
ZAF-000218,2022,541,,,18,30.055555555555557
ZAF-000219,2022,456,,,13,35.07692307692308
ZAF-000220,2022,1000,,,28,35.714285714285715
ZAF-000221,2022,300,,,19,15.789473684210526
ZAF-000222,2022,325,,,11,29.545454545454547
ZAF-000223,2022,741,,,24,30.875
ZAF-000224,2022,1824,,,60,30.4
ZAF-000225,2022,1072,,,24,44.666666666666664
ZAF-000226,2022,1228,,,33,37.21212121212121
ZAF-000227,2022,676,,,22,30.727272727272727
ZAF-000228,2022,784,,,22,35.63636363636363
ZAF-000229,2022,399,,,13,30.692307692307693
ZAF-000230,2022,395,,,17,23.235294117647058
ZAF-000231,2022,849,,,27,31.444444444444443
ZAF-000232,2022,338,,,9,37.55555555555556
ZAF-000233,2022,420,,,27,15.555555555555555
ZAF-000234,2022,1355,,,44,30.795454545454547
ZAF-000235,2022,1092,,,31,35.225806451612904
ZAF-000236,2022,1317,,,37,35.5945945945946
ZAF-000237,2022,1527,,,45,33.93333333333333
ZAF-000238,2022,571,,,17,33.588235294117645
ZAF-000239,2022,368,,,11,33.45454545454545
ZAF-000240,2022,1142,,,31,36.83870967741935
ZAF-000241,2022,1134,,,34,33.35294117647059
ZAF-000242,2022,932,,,29,32.13793103448276
ZAF-000243,2022,1636,,,50,32.72
ZAF-000244,2022,1768,,,58,30.482758620689655
ZAF-000245,2022,1110,,,35,31.714285714285715
ZAF-000246,2022,692,,,24,28.833333333333332
