nombredepartamento,nombremunicipio,nombreestablecimiento,direccion
NARIÑO,SAN PEDRO DE CARTAGO,CENTRO EDUCATIVO YERBABUENAL,VDA YERBABUENAL
VALLE DEL CAUCA,CALI,LICEO PAULO FREIRE,IND AV 2 B NORTE # 75CN-61
NARIÑO,RICAURTE,CENTRO EDUCATIVO MAGUI,VDA MAGUI
ANTIOQUIA,MEDELLÍN,COL PANAMERICANO COLOMBO SUECO,CL 78 B 84 41
NARIÑO,PASTO,JARD INF PSICOPEDAGOGICO PERSONITAS DEL MAÑANA,CL 9 41 27
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,INSTITUCION EDUCATIVA DEPARTAMENTAL BOLIVAR,TRANSVERSAL 11   12   168
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC ATENEO COMERCIAL                                                                                ,CLL. 69A SUR NO.17N-18
CHOCÓ,BAHÍA SOLANO,IE DEL VALLE,EL VALLE
ATLÁNTICO,BARRANQUILLA,JARDIN INFANTIL EL DIVINO ARCANGEL,CL 51 35 114
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO PERSONALIZADO PENSAMIENTO,DG 34 BIS 18 21
LA GUAJIRA,MAICAO,C.E. CASA DE ACTIVIDADES LÚDICAS Y PEDAGÓGICAS,CL 11 9 27
SUCRE,SAN MARCOS,JARDIN INFANTIL LOS PEQUEÑOS OSITOS,CR 23 NO 18A - 152
HUILA,TERUEL,IE MISAEL PASTRANA BORRERO,KR 4 # 4-52
BOYACÁ,SOGAMOSO,GIMNASIO BILINGÜE MODERNO,AV SAN MARTIN 19 05
ANTIOQUIA,MEDELLÍN,GUARD Y PREESC MUNDO DE ILUSIONES,CL 38 63 B 89
ATLÁNTICO,BARRANQUILLA,COLEGIO BILINGUE GARDNER ,KR 42 78 B 23
HUILA,NEIVA,GIMNASIO PEDAGÓGICO Y DE ESTIMULACIÓN TEMPRANA EDUCAKIDS  ,CL 8 46 43
VALLE DEL CAUCA,TULUÁ,INSTITUCION EDUCATIVA LA MARINA,CORREGIMIENTO LA MARINA
CUNDINAMARCA,SUESCA,INST EDUCATIVA RURAL DEPTAL CACICAZGO,VEREDA CACICAZGO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO MANUELA BELTRAN (IED),KR 15 57 28
RISARALDA,PEREIRA,LIC COMERCIAL MANUELA BELTRAN,AV 30 DE AGOSTO 50 49
NARIÑO,TÚQUERRES,CENTRO EDUCATIVO NUEVA GRANADA,NUEVA GRANADA
TOLIMA,CARMEN DE APICALÁ,INSTITUCION EDUCATIVA TECNICA PEDRO PABON PARGA,CR 7 CLL 7 ESQUINA 
META,VILLAVICENCIO,JARD INF LUIS F. GOMEZ NIÑO,VIA PTO LOPEZ  BASE AEREA DE APIAY
VALLE DEL CAUCA,CALI,COLEGIO EL HOGAR,KR 75 3 C 29
TOLIMA,IBAGUÉ,LICEO INFANTIL LAS AMERICAS,SUP.MZ 6 MZ. 4  CASA 1
BOYACÁ,DUITAMA,I.E.COLEGIO LA NUEVA FAMILIA,KR 31 01 290
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL ELISA BORRERO DE PASTRANA                                                                       ,CL 72 A 94 A 50
ATLÁNTICO,BARRANQUILLA,COL CIUDAD JARDIN,CLL 106 # 86-147
NARIÑO,SAN LORENZO,CENTRO EDUCATIVO SAN FRANCISCO,VEREDA SAN FRANCISCO
CAUCA,CALOTO,I.E. ETNOEDUCATIVO DE TOEZ,RESGUARDO INDÍGENA TOEZ  VEREDA TOEZ
CASANARE,MONTERREY,GIMN CAMP PABLO NERUDA,KR 11 22 30
NARIÑO,CHACHAGÜÍ,CENTRO EDUCATIVO MERLO,VEREDA MERLO
TOLIMA,ESPINAL,GIMNASIO PEDAGOGICO NOVA ESTRELLA,CL 10 8 74
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LICEO INFANTIL EL GRAN VIRREY                                                                       ,CL 60 SUR 22 G 54
ANTIOQUIA,CÁCERES,I. E. GUARUMO,VDA EL GUARUMO 
CAUCA,TIMBIQUÍ,CENTRO EDUCATIVO CALLE DE SANTA ROSA,RESGUARDO INDIGENA CALLE  DE SANTA ROSA
ANTIOQUIA,SAN RAFAEL,COLEGIO PEDAGOGICO SIGLO XXI  COCEP SIGLO XXI ,CRA. 30  22-075
BOYACÁ,DUITAMA,JARDIN INFANTIL KINDERPAX,MZ4CASA4
ATLÁNTICO,MALAMBO,C. E. SEMBRANDO FUTURO,KR 3 S 4 B 04
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF PEQUEÑAS SEMILLAS                                                                          ,CL 145 A 17 56
META,VILLAVICENCIO,INSTITUCION EDUCATIVA RURAL VANGUARDIA,VEREDA VANGUARDIA CARRETERA NUEVA VIA RESTREPO KM 1
GUAVIARE,SAN JOSÉ DEL GUAVIARE,I.E. LAS ACACIAS,VDA. LAS ACACIAS
NORTE DE SANTANDER,TIBÚ,CENTRO EDUCATIVO NUEVO MILENIO,CL 13 15 47
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL GEOFFREY CHAUCERS,CLL. 183 NO. 78 - 95 
BOLÍVAR,CARTAGENA,GIMN. BILINGÜE ALTAMAR,CL REAL 21 177
CÓRDOBA,MONTELÍBANO,CENTRO EDUCATIVO APRENDER,IND MONTELIBANO
ANTIOQUIA,GIRARDOTA,I. E. MANUEL JOSE SIERRA,CRA. 14  7 - 49
ATLÁNTICO,SOLEDAD,CENTRO EDUCATIVO PERSONAJES DEL FUTURO,CL 16 19 89
CAUCA,POPAYÁN,JOSE EUSEBIO CARO,CL 5 36 00
CESAR,AGUSTÍN CODAZZI,JARDIN INFANTIL NIÑOS EXPLORADORES,IND CL 20 KR 14 19 48
NARIÑO,CHACHAGÜÍ,INSTITUCION EDUCATIVA CHACHAGUI,CL 3 6 21
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",CENT EDUC A.C.F. JULIA RONCANCIO                                                                    ,DG 4 6 B 25 ESTE
CUNDINAMARCA,SOACHA,GIMNASIO INFANTIL EL RINCON MAGICO,DG 7 9 07
ATLÁNTICO,BARRANQUILLA,COLEGIO COMUNAL MIXTO,KR 12 A 94 49
TOLIMA,ESPINAL,INSTITUCION EDUCATIVA TECNICA NUESTRA SEÑORA DE FATIMA,KR 7 CL 21
BOYACÁ,DUITAMA,COLEGIO SAN MIGUEL,CL 16 13 50
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC  PIÑEROS CORTES                                                                                 ,CL 2 BIS 73 C 55
SUCRE,GUARANDA,I.E. DE GUARANDA,IND CALLE 7ª NO. 9-10B
META,GRANADA,COLEGIO ANTONIO NARIÑO,KILOMETRO UNO VIA PUERTO CALDAS
VALLE DEL CAUCA,CALI,LICEO BENALCAZAR,KR 2 OESTE 10 83
CÓRDOBA,AYAPEL,INSTITUTO AYAPEL,TRANSV 5A # 26-52
VALLE DEL CAUCA,CALI,INSTITUTO  TECNICO CALIMA,KR 5 NORTE 61 08
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL SANTA ANGELA MERICI                                                                             ,CL 89 A 112 G 26
SUCRE,CHALÁN,I.E. CHALAN,IND  CALLE 6 NO. 5-78
RISARALDA,PEREIRA,LICEO CREATIVO MENDEL,IND KM 4 VIA CERRITOS ENTRADA 1 PARCELACIÓN QUIMBAYITAS
TOLIMA,CHAPARRAL,INSTITUTO EUTIQUIO LEAL,CLL  2 NO 9-46   BARRIO SANTA LUISA
CALDAS,ANSERMA,INSTITUCION EDUCATIVA GOMEZ FERNANDEZ,VEREDA PARTIDAS
SANTANDER,BARRANCABERMEJA,INST ANTONIO NARIÑO                                                                                 ,CL 51 19 34
SANTANDER,BUCARAMANGA,COL PEDAGÓGICO ELLEN KEY,KR 13 15 45
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC NUEVA FANTASIA                                                                                  ,CR. 6A NO.49A-36 SUR
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN CHARLES DE GAULLE                                                                              ,CR. 111 BIS NO.138-06
VALLE DEL CAUCA,CALI,LICEO SAN JOSÉ,KR 1 F 71 A 25
ATLÁNTICO,SOLEDAD,LICEO MIXTO NUEVO SIGLO,KR 17 C 48 70
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL PSICOPEDAG INFANTIL LA ALDEA                                                                    ,CR. 117A NO.31C-21
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC CATOLICO CAMPESTRE                                                                              ,KR 52 221 08
ANTIOQUIA,VIGÍA DEL FUERTE,C. E. R. INDIG. GUAGUANDO,RESG GUAGUANDO
ATLÁNTICO,BARRANQUILLA,INSTITUCION EDUCATIVA DISTRITAL MARIA INMACULADA,KR 29 70 B 60
NARIÑO,EL PEÑOL,INSTITUCION EDUCATIVA JORGE ELIECER GAITAN,MZ 1 CS 1
ANTIOQUIA,MEDELLÍN,I.E. MONTECARLO GUILLERMO GAVIRIA CORREA,KR 36 85 B 140
NARIÑO,EL ROSARIO,I.E. SANTA ROSA DE LIMA,CORREGIMIENTO EL RINCON
CÓRDOBA,AYAPEL,INSTITUTO EDUCATIVO NEWTON,DG 9 # 5A-84
NARIÑO,SAN ANDRES DE TUMACO,CENTRO EDUCATIVO MIS PEQUEÑOS SABIOS,AV LOS ESTUDIANTES
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC  PSICOPEDAG SAN ANGELO                                                                          ,TR. 72D NO. 42A-32 SUR
NARIÑO,OSPINA,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,IND OSPINA
ANTIOQUIA,ZARAGOZA,I. E. LUIS FERNANDO RESTREPO RESTREPO,KR 21 47 25
NARIÑO,SAN BERNARDO,CENTRO EDUCATIVO TUNDURURCO,VDA PINDAL BAJO
CESAR,EL COPEY,C.E. CORAZONES ABAJO,VDA. CORAZONES ABAJO
HUILA,NEIVA,COL EL BOSQUE,CL 26 8 D 23
VALLE DEL CAUCA,CANDELARIA,INSTITUTO SAN FRANCISCO DE ASIS,CR 11 CLL 9 ESQUINA B7 LA MARIA CANDELARIA  VILLAGORGONA
META,PUERTO LÓPEZ,IE REMOLINO,INSP. DE REMOLINO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL ALVARO CAMARGO DE LA TORRE E.T.B.                                                               ,KR 12 BIS 31 45 SUR
ATLÁNTICO,JUAN DE ACOSTA,CENTRO EDUCATIVO SANTA VERONICA,SANTA VERONICA
BOYACÁ,TUNJA,COLEGIO SANTA CECILIA,MZ  D N° 9 SAN FRAN
TOLIMA,IBAGUÉ,LICEO JAVIER ARANGO JIMENEZ,CLL 12  N 17A 96
CÓRDOBA,PUERTO LIBERTADOR,COLEGIO BEATO JUAN XXIII ,KR 7 2 32
NARIÑO,POLICARPA,CENTRO EDUCATIVO EL CAIRO,VEREDA EL CAIRO
RISARALDA,DOSQUEBRADAS,INSTITUCION EDUCATIVA SANTA JUANA DE LESTONNAC,DG 21 TV 22
CHOCÓ,QUIBDÓ,INST TEC DE BTO  ITEBAC,CL 30
NARIÑO,MALLAMA,CENTRO EDUCATIVO CURCUEL,VEREDA CURCUEL
CALDAS,MANIZALES,COL. AMERICANO,CL 22 25 33
BOYACÁ,SOGAMOSO,COLEGIO IFESCOL BOYACÁ,CL 11 10 25
VALLE DEL CAUCA,BUENAVENTURA,ESCUELA CAMINO AL FUTURO,CL 4 KR 73 POSTE 51
NARIÑO,LA CRUZ,CENTRO EDUCATIVO LA ESTANCIA,LA ESTANCIA
BOYACÁ,SAMACÁ,GIMNASIO CAMPESTRE NUESTRA SEÑORA DEL ROSARIO,CL 4 5 29
TOLIMA,COYAIMA,INSTITUCION EDUCATIVA TECNICA SAN MIGUEL,VDA SAN MIGUEL
NARIÑO,POLICARPA,CENTRO EDUCATIVO INDEPENDENCIA,VEREDA INDEPENDENCIA
VALLE DEL CAUCA,PALMIRA,LICEO PEDAGOGICO LOS GRANDES LECTORES,KR 27 33 27
SANTANDER,SAN BENITO,INSTITUTO DE EDUCACION RURAL SANTA MARIA DEL CAMINO                                                 ,VDA EL AMARILLO
VALLE DEL CAUCA,CALI,FUNDACION COMUNITARIA MANUELA BELTRAN FUCOMABE,IND CRA 26I 2 117 - 14
BOLÍVAR,ACHÍ,I.E. DE SAN MIGUEL DE TRES CRUCES,CORREGIMIENTO TRES CRUCES
TOLIMA,DOLORES,INSTITUCION EDUCATIVA SAN PEDRO,VDA SAN PEDRO
SANTANDER,BUCARAMANGA,INST TEC COLOMBIANO INTECOL                                                                         ,CL 56 32 51
ATLÁNTICO,SOLEDAD,COLEGIO MUNDO DEL NI¥O DE SOLEDAD,KR 20 13 22
ANTIOQUIA,JARDÍN,INSTITUTO CORFERRINI                                                                                ,SIN INFORMACION
ANTIOQUIA,TOLEDO,I. E. J. EMILIO VALDERRAMA AGUDELO,KR 10 12 07
NARIÑO,POTOSÍ,CENTRO EDUCATIVO SAN LUIS,VEREDA SAN LUIS
CESAR,VALLEDUPAR,INTITUTO VIDES CORDOBA,DIAG 20 # 21-67
MAGDALENA,SANTA MARTA,COLEGIO CRISTIANO FUENTE DE VIDA,CL 14 9 100
NARIÑO,BARBACOAS,CENTRO EDUCATIVO CHAPIRA,BAJO TELEMBI
SANTANDER,SAN GIL,FORMAR PARA EL DESARROLLO SOCIAL,KR 12 8 37
RISARALDA,PEREIRA,CE ENRIQUE MILLAN RUBIO,ENTRADA A PAPELES NACIONALES
NARIÑO,SAPUYES,INSTITUCION EDUCATIVA TECNICA EL ESPINO,CORR. EL ESPINO SUAREZ
SUCRE,COROZAL,I.E. GABRIEL GARCIA MARQUEZ,KR 34 30 251
NARIÑO,BARBACOAS,CENTRO EDUCATIVO LOS BRAZOS,RIO GUELMAMBI
SANTANDER,LANDÁZURI,INSTITUTO COLOMBO VENEZOLANO - CECOVE.,KR 4 7 07
CUNDINAMARCA,MOSQUERA,INSTITUTO PEDAGÓGICO NUESTRA SEÑORA DEL PILAR,CL 11 10 B 35
NARIÑO,SAN ANDRES DE TUMACO,CE. VALLENATO,CORREGIMIENTO PLAYON RIO MIRA
SANTANDER,BARBOSA,COL PARROQ SAN LUIS GONZAGA                                                                         ,KR 4 17 14
CUNDINAMARCA,SOACHA,LICEO PSICOPEDAGOGICO EL REFUGIO,CL 31 5 02 ESTE
SUCRE,SINCELEJO,INSTITUCION EDUCATIVA ALTOS DEL ROSARIO,CL 5 14 C 05
VALLE DEL CAUCA,CALI,COL CIUDADELA EDUC LA PRESENTACIÓN,CRA. 143 CALLE 40 CASCAJAL
VALLE DEL CAUCA,CALI,LICEO SANTA INES-ANDES,IND CL 123A4 28D10 14
NORTE DE SANTANDER,HERRÁN,COL INTEGRADO PERPETUO SOCORRO,AV 2 0 1
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO DE EDUCACIÓN TÉCNICA Y ACADÉMICA CELESTIN FREINET,CL 136 136 A 12
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",CENT EDUC PINARDI                                                                                   ,CL 22 D BIS 42 B 35
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF COLORINES DE BOLIVIA                                                                       ,CL 86 C 103 D 87
ATLÁNTICO,BARRANQUILLA,COLEGIO CRISTO REY,CL 109 37 60
META,EL DORADO,IE EL DORADO,CALLE 2 #7- 8
CESAR,VALLEDUPAR,CENTRO EDUCATIVO PAULO FREIRE,CL 15 50 01
NARIÑO,RICAURTE,CENTRO EDUCATIVO ANGOSTURA,VDA ANGOSTURA
ANTIOQUIA,ENVIGADO,CENTRO EDUCATIVO RURAL LA MORENA,CLL 36 S N 25-44
MAGDALENA,PEDRAZA,INSTITUCION EDUCATIVA DEPARTAMENTAL TECNICA AGROECOLOGICA JOSE DADUL,BAHIA HONDA
VALLE DEL CAUCA,CALI,INST TEC LOS SABIOS DEL FUTURO,IND KR 26D1 97 95
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",CORPORACIÓN TÉCNICA EMPRESARIAL DE LAS AMERICAS - CORPOAMERICAS,CL 38 S 78 48
CAUCA,POPAYÁN,MAT PREES SONRISAS INFANTILES,CL 23 9 52
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",CENT EDUC Y CULT ESPAÑOL REYES CATOLICOS                                                            ,CL 127 A 11 B 54
CUNDINAMARCA,TOCANCIPÁ,COL SAN PAULO                                               ,CL 7 6 49
TOLIMA,IBAGUÉ,COL HERMANN GMEINER SOS,CL 87 20 98
CESAR,PUEBLO BELLO,CEN. EDU. INDIGENA SIMUNURWA,RESGUARDO ARHUACO
NARIÑO,ROBERTO PAYÁN,CENTRO EDUCATIVO  LOMA GRANDE,VDA RIO  PATIA VIEJO
ARAUCA,ARAUCA,CENTRO EDUCATIVO INDIGENA GUAHIBO SIKUANI-PLAYEROS,RESGUARDO INDIGENA MATECANDELA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL MIGUEL FARADAY                                                                                  ,DG 74 A SUR 78 I 74
MAGDALENA,GUAMAL,INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL SAGRADO CORAZON DE JESUS,GUAIMARAL
CAUCA,POPAYÁN,PREESCOLAR CASA MATERNA RETOÑITOS,KR 13 7 A 27
BOLÍVAR,CARTAGENA,INST. FROBEL,MZ 10 LT 7 ET 1
META,VILLAVICENCIO,INSTITUTO JORGE ISAAC,KR 45 36 46
SUCRE,SAN LUIS DE SINCÉ,INST EDUC SAN JUAN BAUTISTA DE LA SALLE,CLL 15 NO 9 - 124
VALLE DEL CAUCA,BUENAVENTURA,ESCUELA FLORECITA,IND CL 2 BARRIO EL PROGRESO
CAUCA,SUÁREZ,I.E. ASNAZU,CORREGIMIENTO  ASNAZU
CUNDINAMARCA,CHÍA,JARDIN INF CAMP MI CARRETA                                  ,VDA BOJACA SECTOR DELICIAS
NARIÑO,LA UNIÓN,INSTITUCION EDUCATIVA DE DESARROLLO RURAL,CORREG EL SAUCE
CAUCA,ARGELIA,I.E. SINAI,CORREGIMIENTO  SINAI
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,I. E. R. OVEJAS,CORREG. OVEJAS
CÓRDOBA,LOS CÓRDOBAS,C.E.MINUTO DE DIOS,VEREDA MINUTO DE DIOS
VALLE DEL CAUCA,GUADALAJARA DE BUGA,INSTITUTO TECNICO AGRICOLA TEPA,KR 13 CL 26 C
QUINDIO,QUIMBAYA,RAMON MESSA LONDOÑO,FINCA LA PROVIDENCIA VDA PUEBLO RICO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF Y GUARD SAN RAFAEL                                                                         ,KR 66 A 49 A 66
ATLÁNTICO,SOLEDAD,CONCENTRACION EDUCATIVA SAGRADO CORAZON DE JESUS,CL 72 A 17 70
ATLÁNTICO,BARRANQUILLA,JARDIN INFANTIL LA EDAD DE ORO,IND CLL  74 -2 # 70-07
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL NUEVO CAMPESTRE                                                                                 ,IND AV. CORPAS KM. 3 SUBA COTA
SANTANDER,EL CARMEN DE CHUCURÍ,INSTITUCION EDUCATIVA  SANTO DOMINGO DEL RAMO,CORREGIMIENTO SANTO DOMINGO DEL RAMO
NARIÑO,SANTACRUZ,CENTRO EDUCATIVO SAN JOSE,VDA. SAN JOSE
NARIÑO,TÚQUERRES,CENTRO EDUCATIVO SAN CARLOS,VEREDA SAN CARLOS
NORTE DE SANTANDER,VILLA DEL ROSARIO,INST EDUCATIVA LA FRONTERA,IND MZ 4 8-24 B.LA PARADA
VALLE DEL CAUCA,YUMBO,COL CRISTIANO SHALOM INTERNACIONAL,CLL 11 NO 1A-44
CUNDINAMARCA,ZIPAQUIRÁ,GIMNASIO MARIA MONTESSORI                              ,CALE 24 N° 14B-33
VALLE DEL CAUCA,BUENAVENTURA,INSTITUTO EDUCATIVO JUNIOR ,KR 60 11 A 51
META,RESTREPO,LICEO PSICOPEDAGOGICO MI AMADO JESUS,CL 7 4 54
HUILA,NEIVA,COLEGIO CAMPESTRE PADRE ARTURO MISIONEROS DE LA DIVINA REDENCION,KM 2 VÍA CAGUAN
NARIÑO,SANDONÁ,INSTITUCION EDUCATIVA NUESTRA SEÑORA DE FATIMA,IND CASCO URBANO
CUNDINAMARCA,FACATATIVÁ,INSTITUCION EDUCATIVA DEPARTAMENTAL MANUELA AYALA DE GAITAN,CL 15 10 24
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",MI TALLER CREATIVO LICEO MONTECARMELO                                                               ,IND VÍA SUBA - COTA KM 6 ENTRADA CLUB LOS ARRAYANES
RISARALDA,PEREIRA,CE ESPERANZA GALICIA,VDA ESPERANZA GALICIA
ANTIOQUIA,ZARAGOZA,CIBERCOLEGIO UCN,CL BOLIVAR 39 A 36
ANTIOQUIA,MEDELLÍN,CENT PREESC EUGENIA RAVASCO,CL 10 43 41
MAGDALENA,SANTA MARTA,INSTITUCION EDUCATIVA DISTRITAL POZOS COLORADOS,CARRERA 11 NO. 116 - 29
ANTIOQUIA,CAUCASIA,C. E. R. 20 DE JULIO,PUERTO COLOMBIA
SANTANDER,LEBRIJA,FUNDACION INSTITUTO CRISTIANO DE PROMOCION CAMPESINA                                                ,CALLE 15A NO. 18-09 BARRIO BUENOS AIRES
NARIÑO,EL TAMBO,CENTRO EDUCATIVO SAN PABLO,VDA SAN PABLO
ATLÁNTICO,PUERTO COLOMBIA,COLEGIO SOCIEDAD DE CRISTO,CALLE 2 NO 13-105 
NARIÑO,SAN LORENZO,CENTRO EDUCATIVO SAN JOSE ALTO,CORREGIMIENTO EL CARMEN
META,RESTREPO,IE EMILIANO RESTREPO ECHAVARRIA,IND KM 0 ENTRADA A RESTREPO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO PABLO NERUDA  (IED),CL 16 F BIS 102 70
CAUCA,EL TAMBO,I.E. LAS BOTAS,CASERIO LAS BOTAS
ANTIOQUIA,MEDELLÍN,INST EDUC LOMA HERMOSA,CR 123 B  53 B 5
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO NUEVA CONSTITUCION (IED),KR 107 B 74 B 31
VALLE DEL CAUCA,BUENAVENTURA,FUNDACION LIDEREMOS,IND KR 19N 4B - 18  PRIMER  PISO
ANTIOQUIA,CAUCASIA,I. E. R. VILLA FATIMA ARRIBA,VDA. QUEBRADONA ARRIBA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL PSICOPEDAG VILLAVERDES                                                                          ,KR 1 C ESTE 91 B 04 SUR
VALLE DEL CAUCA,CALI,JARDIN ARMONIA INFANTIL,KR 79 6 37
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LICEO MODERNO SUEÑOS DE LOS ANGELES,KR 87 K 54 C 59 SUR
RISARALDA,PEREIRA,IE JESUS DE LA BUENA ESPERANZA,KR 3 34 46
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARDIN INFANTIL CASITA DEL SOL,CL 73 B SUR 1 D 13
VALLE DEL CAUCA,TRUJILLO,IE MANUEL MARIA MALLARINO,VDA RIN-RAN
ATLÁNTICO,BARRANQUILLA,COLEGIO LA MEDALLA  MILAGROSA,CL 86 64 75
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL BILING RICHMOND                                                                                 ,KR 53 222 76
LA GUAJIRA,RIOHACHA,COLEGIO MI JARDÍN,CL 20 12 04
VALLE DEL CAUCA,CALI,JARDIN INFANTIL  Y ESCUELA MATERNAL EL PRINCIPITO  ,IND KR 31 5 OESTE 49
CÓRDOBA,CHINÚ,C.E. EL DESEO,CORREG EL DESEO
ANTIOQUIA,MEDELLÍN,INST EDUC LORENZA VILLEGAS DE SANTOS,KR 51 87 40
BOLÍVAR,SAN JUAN NEPOMUCENO,INSTITUCION EDUCATIVA SAN PEDRO CONSOLADO,CGTO SAN PEDRO CONSOLADO BARRIO EL QUEMADO
CÓRDOBA,MONTERÍA,GIMN SERRANIAS,CLL 15 # 4-62
LA GUAJIRA,BARRANCAS,INSTITUCION EDUCATIVA RURAL  ELOY HERNANDEZ DIAZ,CALLE 3 CARRERA 10 CARRETERA NACIONAL
SANTANDER,CEPITÁ,INSTITUTO TECNICO PARA EL DESARROLLO RURAL IDEAR                                                  ,CENTRO
VALLE DEL CAUCA,LA UNIÓN,IE JUAN DE DIOS GIRON,CLL 17 NO 17-42
SUCRE,SINCELEJO,CENTRO EDUCATIVO MUNDO DE GENIOS,CL 23 14 53
NORTE DE SANTANDER,CÚCUTA,CENTRO EDUCATIVO PLAY GYM EXPLORADORES S.A.S,CL 21 A 0 B 66
SANTANDER,BUCARAMANGA,COL ACOANDES                                                                                        ,CL 41 15 82
NORTE DE SANTANDER,TOLEDO,CENT EDUC RUR SANTA BARBARA,VDA SANTA BARBARA
ANTIOQUIA,BELLO,PREESCOLAR PEQUEÑOS ALFAREROS,AV 31 43 A 04
ATLÁNTICO,BARRANQUILLA,INSTITUCION EDUCATIVA DISTRITAL LAS GRANJAS,KR 16 SUR 91 15
NORTE DE SANTANDER,PAMPLONA,I.E. NEW CAMBRIDGE SCHOOL,CRA 6 # 2-20
ANTIOQUIA,VENECIA,INSTITUTO CORFERRINI,KR 53 51 A 43
META,VILLAVICENCIO,GIMNASIO EDUCATIVO LAS GAVIOTAS,CL 18 S 10 03
BOYACÁ,VIRACACHÁ,IE TEC AGROPECUARIA,CL 2 # 4 - 03
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF EL RINCON DEL TERCER PUENTE                                                                ,KR 22 168 87
TOLIMA,ESPINAL,INSTITUCION EDUCATIVA DINDALITO CENTRO,VDA DINDALITO
ANTIOQUIA,MEDELLÍN,CENT EDUC SEMILLAS DE VIDA,CL 51 83 A 33
BOLÍVAR,CARTAGENA,INSTITUTO  SKINNER II   (ANT.-JARD. INF. SKINNER II),KR 3  85 35
SUCRE,SAN BENITO ABAD,INST EDUC SANTIAGO APOSTOL,CORREG SANTIAGO APOSTOL
SANTANDER,GIRÓN,JARDIN INFANTIL DUENDECILLOS                                                                        ,KR 28 33 33
HUILA,NEIVA,COL INTEGRAL DIVINO NIÑO JESUS,CL 21 8 B 90
CHOCÓ,SIPÍ,CE INDÍGENA LA MILAGROSA DE SANDOSITO,CORREG SANANDO
SANTANDER,GIRÓN,COLEGIO LUIS CARLOS GALÁN SARMIENTO,CL 13 A 19 A 50
NARIÑO,BUESACO,CENTRO EDUCATIVO DIVINO NIÑO JESUS,VDA BRUSELAS
ANTIOQUIA,MEDELLÍN,INST EDUC JUVENIL NUEVO FUTURO,CL 104 CC 80 03
VALLE DEL CAUCA,CALI,COLEGIO JOSE EUSTAQUIO RIVERA,CRA 1  A 12 # 72-106
NARIÑO,GUAITARILLA,CENTRO EDUCATIVO PARAMILLO,VEREDA EL PARAMILLO
NARIÑO,SANTA BÁRBARA,CENTRO EDUCATIVO SANDAMIA,VEREDA SANDAMIA
VALLE DEL CAUCA,CALI,HOGAR INFANTIL NIETECITOS,CALLE 41 # 4N-81
META,VILLAVICENCIO,JARD INFL MATERNAL Y PREESCOLAR TALENTOS,CALLE 45 NO 39-40
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO JORGE SOTO DEL CORRAL (IED),CL 3 1 A 11 ESTE
NARIÑO,MOSQUERA,CENTRO EDUCATIVO EL NARANJO,CORREGIMIENTO EL NARANJO MPIO MOSQUERA
VALLE DEL CAUCA,CALI,INSTITUCIÓN EDUCATIVA GENERAL FRANCISCO DE PAULA SANTANDER,CL 27 31 A 60
CUNDINAMARCA,GIRARDOT,JARDIN INFANTIL MIMOS EL PALOMAR,CL 20 19 50
VALLE DEL CAUCA,CALI,LIC MIX CAMINO DIVINO,KR 26 F 91 71
