nombredepartamento,nombremunicipio,nombreestablecimiento,direccion
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC PARROQ SAN JOSE                                                                                 ,TV 13 H 45 F 33 SUR
VALLE DEL CAUCA,GUADALAJARA DE BUGA,JARDIN INFANTIL Y CENTRO DE ESTIMULACION SUEÑO DE LUNA,CL 11 KR 10 42
NORTE DE SANTANDER,MUTISCUA,CENT EDUC RUR LA CALDERA,VDA LA CALDERA
MAGDALENA,PIVIJAY,INSTITUCION EDUCATIVA DEPARTAMENTAL SAGRADO CORAZON DE JESUS,KR 15 18 103
ANTIOQUIA,APARTADÓ,COLEGIO DE EDUCACION CAMPESINA CEC,CL. DE LA IGLESIA
META,LEJANÍAS,IE DE LEJANIAS,KR 22 7 17
HUILA,PITALITO,SANTA PAULA DE BELEN,KR 2 9 S 74
VALLE DEL CAUCA,CALI,COL JARD INF GENTE MENUDA,CL 19 D 23 73
CAUCA,LA VEGA,INSTITUCION EDUCATIVA SANTA ROSA DE LIMA,CORREGIMIENTO ARBELA
CHOCÓ,BAGADÓ,IE CORAZON DE MARIA,BAGADO
NARIÑO,BARBACOAS,CENTRO EDUCATIVO PISPIAN,ALTO TELEMBI
RISARALDA,SANTA ROSA DE CABAL,I.E.T. MARILLAC,KR 13 7 12
SANTANDER,FLORIDABLANCA,COL TEC VICENTE AZUERO,CL 50 2 106
SANTANDER,LEBRIJA,CENTRO EDUCATIVO DON LUIS GUANELLA,SIN DIRECCION
CESAR,EL PASO,C.E. PLAN BONITO,VDA. PLAN BONITO
SANTANDER,SAN GIL,CORPORACION EDUCATIVA FERRINI                                                                       ,CALLE 6A N. 3-54
CESAR,EL PASO,ESCUELA NUEVA RURAL MIXTA PUENTE CANOA,VEREDA PUENTE CANOA
VALLE DEL CAUCA,CALI,LIC. FUENTE DE AMOR,KR 42 C 52 71
CUNDINAMARCA,SOACHA,LICEO EDUCATIVO NUEVO MUNDO,KR 12 A 30 05 SUR
SANTANDER,SAN GIL,COLEGIO EXPERIMENTAL DE PAZ                                                                         ,CALLE 8 CARRERA 9
SANTANDER,FLORIDABLANCA,SAN LUIS BELTRAN  BELTRAN DEL LAGO,KR 9 NO. 25-06
SANTANDER,BARRANCABERMEJA,JARDIN INFANTIL NELSON MANDELA,SIN DIRECCION
LA GUAJIRA,EL MOLINO,COL SAN JUAN BOSCO ,KR 2 10 14
CALDAS,MANIZALES,JARDIN INF. Y GUARDERIA MONINOS,KR 15 4 C 20
LA GUAJIRA,RIOHACHA,SAN AGUSTIN,CRA. 12 B NO. 21 - 31
MAGDALENA,PIVIJAY,JAR INF MIS AMIGUITOS TRAVIESOS,CL 9 NRO 11 36
LA GUAJIRA,RIOHACHA,JARDIN  TRAVESURAS INFANTILES,VILLA COMFAMILIAR
CUNDINAMARCA,GIRARDOT,INST TOLIMA DE GDOT,KR 4 # 14 - 24
VALLE DEL CAUCA,BUENAVENTURA,CEN  DOC  SANTIAGO APOSTOL,IND COLON
MAGDALENA,SANTA MARTA,JARDIN CAMPESTRE EL MUNDO DE DISNEY,KR 9 16 07
CUNDINAMARCA,GIRARDOT,LIC INF MIS TRAVESURAS,MZ 24 CASA 8
META,VILLAVICENCIO,IE  LIC DEL LLANO CARO Y CUERVO,CL 34 NO 38-56
LA GUAJIRA,RIOHACHA,JARDIN MADRE LAURA,CLL 12 A  NO. 10 - 74
MAGDALENA,CHIVOLO,CENTRO EDUCATIVO JEAN PIAGET,CHIBOLO
SANTANDER,BARBOSA,CORPORACION EDUCATIVA TECNICA Y EMPRESARIAL,BARBOSA
SANTANDER,BUCARAMANGA,JARDIN INFANTIL DUCKY CHILDS,KR 36 52 93
SANTANDER,SABANA DE TORRES,FUNDACION INSTITUTO CRISTIANO DE PROMOCION CAMPESINA,SABANA DE TORRES
CUNDINAMARCA,GIRARDOT,JARD MI ANGELITO JUGUETON,KR 6 # 12 - 28
SANTANDER,BUCARAMANGA,SIN NOMBRE,SIN DIRECCION
RISARALDA,PEREIRA,SANTA ROSA DE LIMA,SAN FERNANDO CUBA
SUCRE,COROZAL,LICEO VICENTE CAVIEDES (SEDE COROZAL),COROZAL
MAGDALENA,ALGARROBO,CORPORACION EDUCATIVA CHARLES DICKENS,CR 16 NO 6-56
META,VILLAVICENCIO,INSTITUTO DE BACHILLERATO EMPRENDEDORES,CLL 41 NO. 31-23
RISARALDA,DOSQUEBRADAS,HOGAR INFANTIL VECINAL JAPON,KR 25 9 A 12
VALLE DEL CAUCA,BUENAVENTURA,CENTRO  EDUCATIVO YENSI,CL LA UNION 38 29
VALLE DEL CAUCA,BUENAVENTURA,CENTRO DOCENTE GARCIA MARQUEZ,CL 3 SUR KR 20 BRISAS MARINAS
CESAR,VALLEDUPAR,INSTITUTO IMAGINO MI MUNDO,CL 19 B 35 07
VALLE DEL CAUCA,CANDELARIA,JARDIN INFANTIL CABALLITO DE MAR,MZ 29 CASA 71
CUNDINAMARCA,SOACHA,TALLER PSICOPEDAGOGICO DEL SUR,CL 34 3 06
ARAUCA,FORTUL,EL CASTILLO DEL TRIUNFO,CL 7 21 65
META,GRANADA,COLEGIO CERVANTES SAAVEDRA,KR 9 21 30
CUNDINAMARCA,SOACHA,LICEO PSICOPEDAGOGICO LEON XIII,CL 3 C 9 62
RISARALDA,PEREIRA,CENT PSICOPEDAG DECROLY,KR 11 BIS 24 244
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO MI BELLA PRIMAVERA,CL 4 73 35
RISARALDA,DOSQUEBRADAS,HOGAR INFANTIL VECINAL LA BADEA,IND TV. 5 LA BADEA
SANTANDER,SOCORRO,INSTITUTO EDUCATIVO LIDERES DEL FUTURO,IND CART CTRAL VIA BAT GALAN
CAUCA,SANTANDER DE QUILICHAO,INSTITUTO ACADEMICO DE EXCELENCIA  INADE ,KR 11 7 15
META,VILLAVICENCIO,JARDIN INFANTIL PILOSITOS DE CENACAP,KR 48 9 12
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,CENTRO EDUCATIVO MI MUNDO MAGICO,CL 11 9 120
TOLIMA,MELGAR,LICEO PSICOPEDAGOGICO JEAN PIAGET,KR 38 4 20
VALLE DEL CAUCA,BUENAVENTURA,INSTITUCION EDUCATIVA MAR AZUL,CL 5 C 52 A 11
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO ETERNA PRIMAVERA,CL 55 B 3 36
CUNDINAMARCA,SOACHA,CENTRO EDUCATIVO BRIGTH CHILDREN,CL 17 8 18
CAUCA,EL TAMBO,SIN NOMBRE,IND CASCO URBANO
RISARALDA,PEREIRA,LICEO EXPLORING MINDS - MENTES EXPLORADORAS,MZ 16 CS 7
LA GUAJIRA,RIOHACHA,INSTITUCION EDUCATIVA FRANCISCO DE ASIS S.A.S.,CL 15 12 48
META,VILLAVICENCIO,JARDIN INFANTIL GOTICAS DE AMOR,VEREDAAPIAY SECTOR DEL BOSQUE
ANTIOQUIA,BELLO,IE ESCUELA POLITECNICA INTERACTIVA DE BELLO,CL 24 A 50 A 129
CUNDINAMARCA,SOACHA,LICEO SAN SEBASTIAN,KR 3 E 29 B 43
VALLE DEL CAUCA,BUENAVENTURA,ESCUELA MIS PRIMERAS HUELLAS,IND VIA S/N  POSTE N  15-25
SANTANDER,BARRANCABERMEJA,COLEGIO EL PRADO,KR 64 41 24
