Region,Council,Ward,School,Reg.No.,NECTA Exam Centre No.,School Ownership,Latitude,Longitude,Form 1-M,Form 1-F,Form 2-M,Form 2-F,Form 3-M,Form 3-F,Form 4-M,Form 4-F,Form 5-M,Form 5-F,Form 6-M,Form 6-F,M-Total,F-Total,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Regist. Cand. 2021,Clean Cand. 2021,Passed Cand. (I to IV) 2021,Average GPA 2021,Band of School 2021,Band of School 2020,Rank of School 2021,Rank of School 2020,Number of Candidates
Kilimanjaro,Same,Gavao - saweni,SAWENI,S.3106,S3249,Government,-4.443318,37.89063,42,29,27,39,28,36,30,42,0,0,0,0,127,146,14,8,14,8,12,12,80,79,71,3.6875,6,6,1440,1228,40 and More
Kilimanjaro,Same,Hedaru,CHAUKA,S.5240,S5863,Government,-4.517908,37.9197423,50,50,37,53,35,49,35,36,0,0,0,0,157,188,12,6,12,6,19,19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Kilimanjaro,Same,Hedaru,MKOMBOZI,S.672,S0850,Government,-4.39085512,37.9024244,120,142,95,124,81,156,121,155,0,0,0,0,417,577,17,15,17,15,31,31,301,300,246,3.9463,6,6,2538,2344,40 and More
Kilimanjaro,Same,Kalemawe,KALEMAWE,S.5522,S6239,Government,-4.386302736,38.0665565,19,31,14,41,0,0,0,0,0,0,0,0,33,72,6,3,6,3,12,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Kilimanjaro,Same,Kihurio,JITENGENI,S.173,S0354,Non-Government,-4.4805117,38.0757883,8,12,6,23,4,11,16,17,0,0,0,0,34,63,8,2,8,2,10,10,41,40,40,3.6461,6,7,1311,2895,40 and More
Kilimanjaro,Same,Kihurio,KIHURIO,S.3110,S3253,Government,-4.465444,38.075046,75,74,71,65,57,47,75,84,0,0,0,0,278,270,11,7,11,7,30,30,124,122,87,4.2352,7,7,3670,3137,40 and More
Kilimanjaro,Same,Kihurio,MVUREKONGEI,S.3109,S3252,Government,-4.469067,38.0749879,36,32,19,29,20,34,15,36,0,0,0,0,90,131,11,6,10,6,13,14,59,59,35,4.4609,8,7,4039,3602,40 and More
Kilimanjaro,Same,Kirangare,KIRANGARE,S.385,S0615,Government,-4.382238,38.060501,53,53,39,50,21,43,30,56,0,0,0,0,143,202,16,3,16,3,18,18,93,93,79,4.1083,7,7,3259,3082,40 and More
Kilimanjaro,Same,Kisima,JOACHIM BOYS,S.4701,S5213,Non-Government,-4.071624,37.744714,117,0,131,0,88,0,121,0,0,0,0,0,457,0,20,3,20,3,20,20,98,98,98,2.3122,3,3,226,212,40 and More
Kilimanjaro,Same,Kisima,KANDOTO SAYANSI GIRLS',S.2375,S2315,Non-Government,-4.0975848,37.7563715,0,108,0,73,0,115,0,152,0,16,0,20,0,484,21,6,21,6,18,18,133,130,130,2.2299,3,3,191,175,40 and More
