geo_id,year,deped_id,water,internet,electricity,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
HND-016509,2011,180400271,,0,,0,,,,
HND-016423,2011,180400055,1,0,1,1,,,,
HND-016513,2011,180400285,1,0,1,0,,,,
HND-016429,2011,180400063,1,0,1,1,,,,
HND-016375,2011,180400005,1,0,1,1,,,,
HND-016451,2011,180400102,1,0,1,1,,,,
HND-016417,2011,180400049,1,0,1,1,,,,
HND-016477,2011,180400159,,0,,0,,,,
HND-004737,2011,50900073,,0,,0,,,,
HND-005034,2011,51200043,1,0,1,0,,,,
HND-004716,2011,50900020,1,0,1,0,,,,
HND-005017,2011,51200007,1,0,1,0,,,,
HND-004711,2011,50900012,1,0,1,0,,,,
HND-004713,2011,50900015,1,0,1,0,,,,
HND-004724,2011,50900029,1,0,1,0,,,,
HND-005021,2011,51200020,0,0,1,0,,,,
HND-005048,2011,51200103,1,0,1,0,,,,
HND-004733,2011,50900068,,0,,0,,,,
HND-016439,2011,180400074,1,0,1,1,,,,
HND-016530,2011,180400336,,0,,0,,,,
HND-016404,2011,180400035,1,0,1,0,,,,
HND-004706,2011,50900007,1,0,1,0,,,,
HND-016440,2011,180400076,1,0,1,0,,,,
HND-016373,2011,180400003,0,0,1,1,,,,
HND-016510,2011,180400273,,0,,0,,,,
HND-016392,2011,180400022,1,1,1,1,,,,
HND-016430,2011,180400064,1,0,1,1,,,,
HND-016462,2011,180400131,1,0,1,0,,,,
HND-004993,2011,51100226,0,0,1,0,,,,
HND-014835,2011,161500019,1,0,1,0,,,,
HND-004981,2011,51100170,,0,,0,,,,
HND-004930,2011,51100056,1,0,0,0,,,,
HND-005005,2011,51100288,,0,,0,,,,
HND-004913,2011,51100028,0,0,0,0,,,,
HND-004972,2011,51100146,1,0,1,0,,,,
HND-004938,2011,51100071,0,0,0,0,,,,
HND-004939,2011,51100072,1,0,0,0,,,,
HND-005008,2011,51100295,1,0,1,0,,,,
HND-004914,2011,51100029,1,0,1,0,,,,
HND-004941,2011,51100074,1,0,1,1,,,,
HND-005004,2011,51100287,,0,,0,,,,
HND-005013,2011,51100310,,,,,,,,
HND-004942,2011,51100080,0,0,1,0,,,,
HND-004889,2011,51100002,0,0,0,0,,,,
HND-004922,2011,51100038,1,0,1,1,,,,
HND-004980,2011,51100160,1,0,1,0,,,,
