geo_id,year,water,internet,electricity,library,cafeteria
PHL-000030,2017,1,1,1,,
PHL-000031,2015,1,0,1,,
PHL-000031,2016,1,0,1,,
PHL-000031,2017,1,1,1,,
PHL-000032,2015,1,0,1,,
PHL-000032,2016,1,0,1,,
PHL-000032,2017,1,1,1,,
PHL-000033,2015,1,0,1,,
PHL-000033,2016,1,0,1,,
PHL-000033,2017,0,0,1,,
PHL-000034,2015,1,1,1,,
PHL-000034,2016,1,1,1,,
PHL-000034,2017,1,1,1,,
PHL-000035,2015,1,1,1,,
PHL-000035,2016,1,1,1,,
PHL-000035,2017,1,1,1,,
PHL-000036,2015,1,1,1,,
PHL-000036,2016,0,1,1,,
PHL-000036,2017,1,1,1,,
PHL-000037,2015,1,0,1,,
PHL-000037,2016,1,0,1,,
PHL-000037,2017,1,1,1,,
PHL-000038,2015,1,0,1,,
PHL-000038,2016,1,0,1,,
PHL-000038,2017,1,0,1,,
PHL-000039,2015,1,1,1,,
PHL-000039,2016,1,1,1,,
PHL-000039,2017,1,1,1,,
PHL-000040,2015,1,0,1,,
PHL-000040,2016,1,0,1,,
PHL-000040,2017,1,1,1,,
PHL-000041,2015,1,0,1,,
PHL-000041,2016,0,0,1,,
PHL-000041,2017,1,0,1,,
PHL-000042,2015,1,1,1,,
PHL-000042,2016,1,1,1,,
PHL-000042,2017,1,0,1,,
PHL-000043,2015,1,1,1,,
PHL-000043,2016,1,1,1,,
PHL-000043,2017,1,1,1,,
PHL-000044,2015,1,0,1,,
PHL-000044,2016,1,0,1,,
PHL-000044,2017,1,1,1,,
PHL-000045,2015,1,0,1,,
PHL-000045,2016,1,0,1,,
PHL-000045,2017,1,0,1,,
PHL-000046,2015,1,1,1,,
PHL-000046,2016,1,1,1,,
PHL-000046,2017,1,1,1,,
PHL-000047,2015,1,0,1,,
PHL-000047,2016,1,0,1,,
PHL-000047,2017,1,0,1,,
PHL-000048,2015,1,0,1,,
PHL-000048,2016,1,0,1,,
PHL-000048,2017,1,0,1,,
PHL-000049,2015,1,1,1,,
PHL-000049,2016,1,1,1,,
PHL-000049,2017,1,0,1,,
PHL-000050,2015,1,1,1,,
PHL-000050,2016,1,1,1,,
PHL-000050,2017,1,1,1,,
PHL-000051,2015,1,0,1,,
PHL-000051,2016,0,0,1,,
PHL-000051,2017,1,0,1,,
PHL-000052,2015,0,0,1,,
PHL-000052,2016,1,0,1,,
PHL-000052,2017,1,0,1,,
PHL-000053,2015,1,0,1,,
PHL-000053,2016,1,0,1,,
PHL-000053,2017,1,1,1,,
PHL-000054,2015,1,1,1,,
PHL-000054,2016,1,1,1,,
PHL-000054,2017,1,1,1,,
PHL-000055,2015,1,0,1,,
PHL-000055,2016,0,0,1,,
PHL-000055,2017,1,0,1,,
PHL-000056,2015,1,0,1,,
PHL-000056,2016,1,0,1,,
PHL-000056,2017,1,1,1,,
PHL-000057,2015,1,1,1,,
PHL-000057,2016,1,1,1,,
PHL-000057,2017,1,1,1,,
PHL-000058,2015,1,0,1,,
PHL-000058,2016,1,0,1,,
PHL-000058,2017,1,1,1,,
PHL-000059,2015,1,0,1,,
PHL-000059,2016,1,0,1,,
PHL-000059,2017,1,0,1,,
PHL-000060,2015,1,0,1,,
PHL-000060,2016,1,0,1,,
PHL-000060,2017,1,1,1,,
PHL-000061,2015,1,1,1,,
PHL-000061,2016,1,1,1,,
PHL-000061,2017,1,1,1,,
PHL-000062,2015,1,0,1,,
PHL-000062,2016,1,0,1,,
PHL-000062,2017,1,0,1,,
PHL-000063,2015,1,0,1,,
PHL-000063,2016,1,0,1,,
PHL-000063,2017,1,0,1,,
PHL-000064,2015,1,1,1,,
PHL-000064,2016,1,1,1,,
PHL-000064,2017,1,0,1,,
PHL-000065,2015,1,0,1,,
PHL-000065,2016,1,0,1,,
PHL-000065,2017,1,0,1,,
PHL-000066,2015,1,0,1,,
PHL-000066,2016,1,0,1,,
PHL-000066,2017,1,0,1,,
PHL-000067,2015,1,0,1,,
PHL-000067,2016,1,0,1,,
PHL-000067,2017,1,0,1,,
PHL-000068,2015,1,0,1,,
PHL-000068,2016,1,0,1,,
PHL-000068,2017,1,1,1,,
PHL-000069,2015,1,0,1,,
PHL-000069,2016,1,0,1,,
PHL-000069,2017,1,1,1,,
PHL-000070,2015,1,0,1,,
PHL-000070,2016,1,0,1,,
