geo_id,year,deped_id,water,internet,electricity,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
KHM-000052,2014,1020905057.0,0,,,,,,,
KHM-000053,2014,1020906047.0,1,,,,,,,
KHM-000054,2014,1020908048.0,0,,,,,,,
KHM-000055,2014,1020909051.0,0,,,,,,,
KHM-000056,2014,1020913050.0,0,,,,,,,
KHM-000057,2014,1020914053.0,0,,,,,,,
KHM-000058,2014,1020916049.0,0,,,,,,,
KHM-000059,2014,1020917055.0,0,,,,,,,
KHM-000060,2014,1020917056.0,0,,,,,,,
KHM-000061,2014,1021003059.0,1,,,,,,,
KHM-000062,2014,1021005060.0,1,,,,,,,
KHM-000063,2014,1021008061.0,1,,,,,,,
KHM-000064,2014,1021010058.0,0,,,,,,,
KHM-000065,2014,1021011062.0,0,,,,,,,
KHM-000066,2014,1021103066.0,0,,,,,,,
KHM-000067,2014,1021106065.0,0,,,,,,,
KHM-000068,2014,1021109064.0,0,,,,,,,
KHM-000069,2014,1021111063.0,0,,,,,,,
KHM-000070,2014,1021112081.0,0,,,,,,,
KHM-000071,2014,1021113082.0,0,,,,,,,
KHM-000072,2014,1021114083.0,0,,,,,,,
KHM-000073,2014,1021202070.0,0,,,,,,,
KHM-000074,2014,1021205069.0,1,,,,,,,
KHM-000075,2014,1021207068.0,1,,,,,,,
KHM-000076,2014,1021209067.0,0,,,,,,,
KHM-000077,2014,1021301076.0,0,,,,,,,
KHM-000078,2014,1021302077.0,1,,,,,,,
KHM-000079,2014,1021304072.0,0,,,,,,,
KHM-000080,2014,1021305074.0,0,,,,,,,
KHM-000081,2014,1021306071.0,1,,,,,,,
KHM-000082,2014,1021307075.0,0,,,,,,,
KHM-000083,2014,1021308073.0,1,,,,,,,
KHM-000084,2014,1030101003.0,0,,,,,,,
KHM-000085,2014,1030103005.0,1,,,,,,,
KHM-000086,2014,1030108001.0,1,,,,,,,
KHM-000087,2014,1030110030.0,1,,,,,,,
KHM-000088,2014,1030111032.0,0,,,,,,,
KHM-000089,2014,1030113027.0,1,,,,,,,
KHM-000090,2014,1030114004.0,0,,,,,,,
KHM-000091,2014,1030115028.0,1,,,,,,,
KHM-000092,2014,1030115038.0,0,,,,,,,
KHM-000093,2014,1030201006.0,0,,,,,,,
KHM-000094,2014,1030202039.0,1,,,,,,,
KHM-000095,2014,1030203008.0,1,,,,,,,
KHM-000096,2014,1030206026.0,0,,,,,,,
KHM-000097,2014,1030207007.0,1,,,,,,,
KHM-000098,2014,1030208031.0,0,,,,,,,
KHM-000099,2014,1030209033.0,0,,,,,,,
KHM-000100,2014,1030210034.0,0,,,,,,,
KHM-000101,2014,1030211035.0,1,,,,,,,
KHM-000102,2014,1030212036.0,1,,,,,,,
KHM-000103,2014,1030301011.0,0,,,,,,,
KHM-000104,2014,1030303014.0,0,,,,,,,
KHM-000105,2014,1030304013.0,0,,,,,,,
KHM-000106,2014,1030305009.0,0,,,,,,,
KHM-000107,2014,1030306010.0,0,,,,,,,
KHM-000108,2014,1030307012.0,0,,,,,,,
KHM-000109,2014,1030308041.0,1,,,,,,,
KHM-000110,2014,1030401017.0,0,,,,,,,
KHM-000111,2014,1030402040.0,1,,,,,,,
KHM-000112,2014,1030403016.0,0,,,,,,,
KHM-000113,2014,1030406002.0,0,,,,,,,
KHM-000114,2014,1030501024.0,0,,,,,,,
KHM-000115,2014,1030507020.0,0,,,,,,,
KHM-000116,2014,1030508029.0,0,,,,,,,
KHM-000117,2014,1030516022.0,1,,,,,,,
KHM-000118,2014,1030601015.0,0,,,,,,,
KHM-000119,2014,1030602025.0,1,,,,,,,
KHM-000120,2014,1030603019.0,1,,,,,,,
KHM-000121,2014,1030604018.0,0,,,,,,,
KHM-000122,2014,1030606021.0,1,,,,,,,
KHM-000123,2014,1030608023.0,1,,,,,,,
KHM-000124,2014,1030610037.0,1,,,,,,,
KHM-000125,2014,1040107001.0,0,,,,,,,
KHM-000126,2014,1040108002.0,1,,,,,,,
KHM-000127,2014,1040110049.0,0,,,,,,,
KHM-000128,2014,1040111048.0,1,,,,,,,
KHM-000129,2014,1040201003.0,1,,,,,,,
KHM-000130,2014,1040203008.0,1,,,,,,,
KHM-000131,2014,1040204051.0,0,,,,,,,
KHM-000132,2014,1040205009.0,1,,,,,,,
KHM-000133,2014,1040207004.0,0,,,,,,,
KHM-000134,2014,1040208046.0,0,,,,,,,
KHM-000135,2014,1040209005.0,1,,,,,,,
KHM-000136,2014,1040210007.0,1,,,,,,,
KHM-000137,2014,1040212045.0,0,,,,,,,
KHM-000138,2014,1040302014.0,0,,,,,,,
KHM-000139,2014,1040304016.0,0,,,,,,,
KHM-000140,2014,1040307013.0,0,,,,,,,
KHM-000141,2014,1040308015.0,1,,,,,,,
KHM-000142,2014,1040310011.0,1,,,,,,,
KHM-000143,2014,1040313047.0,1,,,,,,,
KHM-000144,2014,1040314010.0,1,,,,,,,
KHM-000145,2014,1040315012.0,1,,,,,,,
KHM-000146,2014,1040401019.0,1,,,,,,,
KHM-000147,2014,1040402054.0,1,,,,,,,
KHM-000148,2014,1040405050.0,1,,,,,,,
KHM-000149,2014,1040406017.0,1,,,,,,,
KHM-000150,2014,1040410020.0,1,,,,,,,
KHM-000151,2014,1040413018.0,1,,,,,,,
KHM-000152,2014,1040501052.0,1,,,,,,,
KHM-000153,2014,1040503023.0,0,,,,,,,
KHM-000154,2014,1040505025.0,1,,,,,,,
KHM-000155,2014,1040507053.0,0,,,,,,,
KHM-000156,2014,1040508026.0,0,,,,,,,
KHM-000157,2014,1040509027.0,0,,,,,,,
KHM-000158,2014,1040511028.0,1,,,,,,,
KHM-000159,2014,1040512024.0,1,,,,,,,
KHM-000160,2014,1040513022.0,1,,,,,,,
KHM-000161,2014,1040601033.0,0,,,,,,,
KHM-000162,2014,1040602034.0,1,,,,,,,
KHM-000163,2014,1040604037.0,0,,,,,,,
KHM-000164,2014,1040605036.0,0,,,,,,,
KHM-000165,2014,1040606029.0,0,,,,,,,
KHM-000166,2014,1040607030.0,0,,,,,,,
KHM-000167,2014,1040608031.0,1,,,,,,,
KHM-000168,2014,1040610032.0,0,,,,,,,
KHM-000169,2014,1040611035.0,0,,,,,,,
KHM-000170,2014,1040701038.0,1,,,,,,,
KHM-000171,2014,1040703039.0,1,,,,,,,
KHM-000172,2014,1040801006.0,1,,,,,,,
KHM-000173,2014,1040804041.0,1,,,,,,,
KHM-000174,2014,1040807040.0,0,,,,,,,
KHM-000175,2014,1040809042.0,0,,,,,,,
KHM-000176,2014,1040811044.0,1,,,,,,,
KHM-000177,2014,1040817043.0,1,,,,,,,
KHM-000178,2014,1040819021.0,1,,,,,,,
KHM-000179,2014,1040901055.0,0,,,,,,,
KHM-000180,2014,1040903056.0,0,,,,,,,
KHM-000181,2014,1040906057.0,0,,,,,,,
KHM-000182,2014,1040907058.0,0,,,,,,,
KHM-000183,2014,1040911059.0,0,,,,,,,
KHM-000184,2014,1040914060.0,0,,,,,,,
KHM-000185,2014,1040915061.0,0,,,,,,,
KHM-000186,2014,1040917062.0,0,,,,,,,
KHM-000187,2014,1050101001.0,1,,,,,,,
KHM-000188,2014,1050106002.0,1,,,,,,,
KHM-000189,2014,1050202004.0,0,,,,,,,
KHM-000190,2014,1050205003.0,0,,,,,,,
KHM-000191,2014,1050209005.0,0,,,,,,,
KHM-000192,2014,1050210006.0,0,,,,,,,
KHM-000193,2014,1050211030.0,1,,,,,,,
KHM-000194,2014,1050213016.0,1,,,,,,,
KHM-000195,2014,1050301007.0,0,,,,,,,
KHM-000196,2014,1050303008.0,1,,,,,,,
KHM-000197,2014,1050304036.0,1,,,,,,,
