code_etablissement,CRE,delegation,nom_etablissement,Type,cre_ar,delagation_ar,code_auto,nom_etablissement_ar,region_ar,cycle_ar,Latitude initiale,Longitude initiale
20624011,Tataouine,BENI MHIRA,E.PREP.BENI M'HIRA ,E.PREP,تطاوين,بني مهيرة,624011,م.إ.ابن الهيثم ببني مهيرة,,اعدادي,32.871325622774144, 10.846369306201154
20624501,Tataouine,BIR LAHMAR,E.PREP.BIR LAHMAR,E.PREP,تطاوين,البئر الأحمر,624501,م.إ.  ببئر الأحمر,,اعدادي,33.175239560109446,10.434393882751465
40624502,Tataouine,BIR LAHMAR,L.BIR LAHMAR,LYCEE,تطاوين,البئر الأحمر,624502,معهد البئر الأحمر,,معهد,33.17539042462712,10.442901849746704
40624503,Tataouine,BIR LAHMAR,L.BIR LAHMAR2,LYCEE,تطاوين,البئر الأحمر,624503,معهد بئر الأحمر 2 ,,معهد,33.1881722646782,10.447654724121094
20625001,Tataouine,DHIBA,E.PREP.DEHIBA,E.PREP,تطاوين,الذهيبة,625001,م.إ.  بذهيبة,,مختلط,32.0132633595159,10.69204956293106
30622707,Tataouine,TATAOUINE SUD,E.PREP.TECH.TATAOUINE,E.PREP.TECH,تطاوين,تطاوين الجنوبية,622707,المدرسة الإعداديّة  التقنية  تطاويـن,,اعدادي تقني,32.92782523086459,10.444164438887015
30623004,Tataouine,GHOMRASSEN,E.PREP.TECH.GHOMRASSEN,E.PREP.TECH,تطاوين,غمراسن,623004,المدرسة الإعداديّة  التقنية بغمراسن,,اعدادي تقني,33.06009376385203,10.34364402294159
40631501,Médenine,MEDENINE SUD,L. MEDENINE,LYCEE,مدنين,مدنين الجنوبية,631501,معهد  مدنين,,معهد,33.348884792201694,10.5084228515625
20631502,Médenine,MEDENINE SUD,E.PREP.RUE MONGI SLIM MEDENINE,E.PREP,مدنين,مدنين الجنوبية,631502,م.إع.  نهج المنجي سليم بمدنين,,اعدادي,33.33896305912586,10.490865111351013
40631503,Médenine,MEDENINE SUD,L. PILOTE  MEDENINE,LYCEE,مدنين,مدنين الجنوبية,631503,المـعهـد النـمـوذجــي بمـدنـيـن,,معهد,33.33449029130238,10.485806465148926
20631505,Médenine,MEDENINE SUD,E.PREP.ERRAJA MEDENINE,E.PREP,مدنين,مدنين الجنوبية,631505,م.إع.  الّرجاء بمدنين,,اعدادي,33.34460194019579,10.52490234375
20631506,Médenine,MEDENINE SUD,E.PREP.EL EMTIEZ MEDENINE,E.PREP,مدنين,مدنين الجنوبية,631506,م.إع.  الإمتياز بمدنين,,اعدادي,33.33511774753217,10.469970703125
40631520,Médenine,MEDENINE SUD,L.BOUGHRARA,LYCEE,مدنين,مدنين الجنوبية,631520,معهد  بوغرارة,,معهد,33.53712210356929,10.670383140625063
20631521,Médenine,MEDENINE SUD,E.PREP.HASSI AMOR MEDNINE,E.PREP,مدنين,مدنين الجنوبية,631521,م.إع.  بحاسي عمر,,اعدادي,33.36502199813077,10.608872920274734
40631522,Médenine,MEDENINE SUD,L.AB.KA.CHEBBI  MEDNINE,LYCEE,مدنين,مدنين الجنوبية,631522,معهد أبو القاسم الشابي بمدنين,,معهد,33.334939,10.503942
20631523,Médenine,MEDENINE SUD,E.PREP.BOUGHRARA,E.PREP,مدنين,مدنين الجنوبية,631523,م.إع. بو غرارة,,اعدادي,33.33511774753217,10.469970703125
40631524,Médenine,MEDENINE SUD,L. HASSI AMOR MEDNINE,LYCEE,مدنين,مدنين الجنوبية,631524,معهد حسي عمر,,معهد,33.36293,10.637636
20631525,Médenine,MEDENINE SUD,E.PREP.OUEDI SEDER MEDNINE,E.PREP,مدنين,مدنين الجنوبية,631525,م.إع. وادي السدر,,اعدادي,33.325401,10.689595
40631701,Médenine,MEDENINE NORD,L.ROUTE DE GABES MEDENINE,LYCEE,مدنين,مدنين الشمالية,631701,معهد  طريق قابس بمدنين,,معهد,33.35951531047422,10.474817916931215
40631702,Médenine,MEDENINE NORD,L. IBN MAJA   MEDENINE  ,LYCEE,مدنين,مدنين الشمالية,631702,معهد إبن ماجة  مدنين ,,معهد,33.338273783810834,10.471032857894897
20631703,Médenine,MEDENINE NORD,E.PREP.CTE EZZEITOUNI MEDENINE,E.PREP,مدنين,مدنين الشمالية,631703,م.إع.  حي الزيتوني بمدنين,,اعدادي,33.410350983346206,10.56060791015625
20631704,Médenine,MEDENINE NORD,E.PREP.FARHAT HACHED MEDENINE,E.PREP,مدنين,مدنين الشمالية,631704,م.إع.  فرحات حشاد بمدنين,,اعدادي,33.35191127843454,10.489475727081299
20631705,Médenine,MEDENINE NORD,E.PREP.I.RACHIK Rte GABES MEDE,E.PREP,مدنين,مدنين الشمالية,631705,م.إع.  ابن رشيق طريق قابس مدنين,,اعدادي,33.36356365644532,10.464917421340942
40631706,Médenine,MEDENINE NORD,L.I.SINA RTE TATAOUINE MEDENIN,LYCEE,مدنين,مدنين الشمالية,631706,معهد  ابن سينا طريق تطاوين مدنين,,معهد,33.3124179522222,10.480092019497533
20631707,Médenine,MEDENINE NORD,E.PREP.KOUTINE,E.PREP,مدنين,مدنين الشمالية,631707,م . إ ع. بكوتين,,مختلط,33.457447946290976,10.371319055557251
40631708,Médenine,MEDENINE NORD,L.IBN KHALDOUN MEDNINE,LYCEE,مدنين,مدنين الشمالية,631708,معهد ابن خلدون مدنين,,معهد,33.36850982219292,10.507599413394928
20631709,Médenine,MEDENINE NORD,E.PREP.PILOTE  MEDNINE,E.PREP,مدنين,مدنين الشمالية,631709,م.إع.النموذجية بمدنين,,اعدادي,33.36098293660926,10.47135204076767
40631801,Médenine,SIDI MAKHLOUF,L.SIDI MAKHLOUF,LYCEE,مدنين,سيدي مخلوف,631801,معهد سيدي مخلـوف,,معهد,33.50964550087751,10.483615562500063
20631802,Médenine,SIDI MAKHLOUF,E.PREP.K.PACHA S.MAKHLOUF,E.PREP,مدنين,سيدي مخلوف,631802,م.إع.  خير الدين باشا بسيدي مخلوف,,اعدادي,33.50528465290791,10.485196262598038
20631803,Médenine,SIDI MAKHLOUF,E.PREP.FARABI RAG.EST.S.MAKHLO,E.PREP,مدنين,سيدي مخلوف,631803,م.إع.  الفارابي الراقوبة الشرقية بسيدي مخلوف,,اعدادي,33.4564185729202,10.438808798789978
20631804,Médenine,SIDI MAKHLOUF,E.PREP.ELJOUREF,E.PREP,مدنين,سيدي مخلوف,631804,م . إ ع. بالجرف,,اعدادي,33.694905,10.732269
20631805,Médenine,SIDI MAKHLOUF,E.PREP. AMRA  MEDNINE,E.PREP,مدنين,سيدي مخلوف,631805,م.إع.  بعمرة مدنين,,اعدادي,33.428,10.561
40632001,Médenine,BENI KHEDDACHE,L.KSAR JEDID.BNI KHDACH,LYCEE,مدنين,بني خداش,632001,معهد القصر الجديد,,معهد,33.28883719920595,10.299272701324526
20632002,Médenine,BENI KHEDDACHE,E.PREP.BENI KHEDACH,E.PREP,مدنين,بني خداش,632002,م.إع.  ببني خداش,,اعدادي,33.24039607279822,10.193467140197754
40632003,Médenine,BENI KHEDDACHE,L. BENI KHEDACH,LYCEE,مدنين,بني خداش,632003,معهد  بني خداش,,معهد,33.24596177406447,10.207865238189697
20632004,Médenine,BENI KHEDDACHE,E.PREP.KSAR JEDID BENI KHEDACH,E.PREP,مدنين,بني خداش,632004,م.إع.  قصر الجديد ببني خداش,,اعدادي,33.29305473739194,10.301722437143326
