geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
ARG-000070,60015000,ESCUELA DE EDUCACIÓN PRIMARIA Nº19 WOLF SCHCOLNIK,,ARG,Buenos Aires,HURLINGHAM,
ARG-000071,60015100,ESCUELA DE EDUCACIÓN PRIMARIA Nº23 DR. JOSÉ INGENIEROS,,ARG,Buenos Aires,HURLINGHAM,
ARG-000072,60015200,ESCUELA DE EDUCACIÓN PRIMARIA Nº41 REMEDIOS DE ESCALADA DE SAN MARTIN,,ARG,Buenos Aires,SAN PEDRO,
ARG-000073,60015300,INSTITUTO SANTA MARIA,,ARG,Buenos Aires,SAN PEDRO,
ARG-000074,60015700,ESCUELA DE EDUCACIÓN PRIMARIA Nº26 BERNARDINO RIVADAVIA,,ARG,Buenos Aires,SAN PEDRO,
ARG-000075,60016100,ESCUELA DE EDUCACIÓN PRIMARIA Nº2 CORONEL DE MARINA TOMAS ESPORA,,ARG,Buenos Aires,ZARATE,
ARG-000076,60016200,ESCUELA DE EDUCACIÓN PRIMARIA Nº3 NUESTRA SEÑORA DEL CARMEN,,ARG,Buenos Aires,ZARATE,
ARG-000077,60016700,INSTITUTO SAN FRANCISCO DE ASIS,,ARG,Buenos Aires,ZARATE,
ARG-000078,60016800,ESCUELA DE EDUCACIÓN PRIMARIA Nº15 FRAY MAMERTO ESQUIU,,ARG,Buenos Aires,SAN MIGUEL,
ARG-000079,60017000,COLEGIO EL TATO,,ARG,Buenos Aires,SAN MIGUEL,
ARG-000080,60017300,COLEGIO GENERAL MANUEL BELGRANO,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000081,60017400,INSTITUTO GRAL DON JOSÉ DE SAN MARTIN,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000082,60017700,ESCUELA DE EDUCACIÓN PRIMARIA Nº16 DR. PEDRO GOYENA,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000083,60018400,INSTITUTO NUESTRA SEÑORA DEL LIBANO,,ARG,Buenos Aires,GENERAL SAN MARTIN,
ARG-000084,60018500,ESCUELA DE EDUCACIÓN PRIMARIA Nº45 RAFAEL OBLIGADO,,ARG,Buenos Aires,GENERAL SAN MARTIN,
ARG-000085,60018600,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 DR. BERNARDO DE MONTEAGUDO,,ARG,Buenos Aires,GENERAL SAN MARTIN,
ARG-000086,60018900,COLEGIO DEL NORTE,,ARG,Buenos Aires,CAMPANA,
ARG-000087,60019000,ESCUELA DE EDUCACIÓN PRIMARIA Nº34 HILARIO ASCASUBI,,ARG,Buenos Aires,JOSE C. PAZ,
ARG-000088,60019200,ESCUELA NUESTRA SEÑORA DEL ROSARIO,,ARG,Buenos Aires,GENERAL SAN MARTIN,
ARG-000089,60019500,ESCUELA 17 DE AGOSTO,,ARG,Buenos Aires,MALVINAS ARGENTINAS,
ARG-000090,60019700,INSTITUTO CRISTO REY,,ARG,Buenos Aires,JOSE C. PAZ,
ARG-000091,60019800,INSTITUTO EVANGELICO AMERICANO,,ARG,Buenos Aires,JOSE C. PAZ,
ARG-000092,60020000,ESCUELA EULOGIA A. DE ALTUBE,,ARG,Buenos Aires,JOSE C. PAZ,
ARG-000093,60020100,INSTITUTO EVANGELICO AMERICANO,,ARG,Buenos Aires,JOSE C. PAZ,
ARG-000094,60020200,INSTITUTO EDUCACIONAL SAN MIGUEL,,ARG,Buenos Aires,SAN MIGUEL,
ARG-000095,60020500,INSTITUTO INDEPENDENCIA,,ARG,Buenos Aires,SAN MIGUEL,
ARG-000096,60020700,ESCUELA DE EDUCACIÓN PRIMARIA Nº38 JUAN MANUEL DE ROSAS,,ARG,Buenos Aires,MALVINAS ARGENTINAS,
ARG-000097,60020900,ESCUELA DE EDUCACIÓN PRIMARIA Nº15 DANTE ALIGHIERI,,ARG,Buenos Aires,JOSE C. PAZ,
ARG-000098,60021600,ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 BRIGADIER GRAL. JUAN F. QUIROGA,,ARG,Buenos Aires,SAN MIGUEL,
ARG-000099,60022300,ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 DON SIXTO ACOSTA,,ARG,Buenos Aires,GENERAL PINTO,
ARG-000100,60022400,ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 VILLA FRANCIA,,ARG,Buenos Aires,GENERAL PINTO,
