geo_id,deped_id,school_name
BHR-000305,306,KHALID BIN AL WALEED PRIMARY BOYS SCHOOL
BHR-000306,307,NAIM SECONDARY BOYS SCHOOL
BHR-000307,308,OMAR BIN ABDULAZIZ PRIMARY BOYS SCHOOL
BHR-000308,309,OMAR BIN AL KHATTAB PRIMARY & INTERMEDIATE BOYS SCHOOL
BHR-000309,310,OSAMAH BIN ZAID PRIMARY BOYS SCHOOL
BHR-000310,311,OTHMAN BIN AFFAN INTERMEDIATE BOYS SCHOOL
BHR-000311,312,QALALI PRIMARY BOYS SCHOOL
BHR-000312,313,QUDAIBIYA PRIMARY & INTERMEDIATE BOYS SCHOOL
BHR-000313,314,RELIGIOUS INSTITUTE
BHR-000314,315,RELIGIOUS INSTITUTE
BHR-000315,316,RIFFA INTERMEDIATE BOYS SCHOOL
BHR-000316,317,SAAD BIN ABI WAQAS PRIMARY BOYS SCHOOL
BHR-000317,318,SAFREH PRIMARY & INTERMEDIATE BOYS SCHOOL
BHR-000318,319,SALAH ALDIN AL AYOUBI PRIMARY BOYS SCHOOL
BHR-000319,320,SAMAHEEJ PRIMARY & INTERMEDIATE BOYS SCHOOL
BHR-000320,321,SANAD PRIMARY BOYS SCHOOL
BHR-000321,322,SAR PRIMARY BOYS SCHOOL
BHR-000322,323,SHAHRAKKAN PRIMARY BOYS SCHOOL
BHR-000323,324,SHAIKH ABDULAZIZ BIN MUHAMMAD SECONDARY BOYS SCHOOL
BHR-000324,325,SHAIKH ABDULLAH BIN ISA SECONDARY TECHNICAL BOYS SCHOOL
BHR-000325,326,SHAIKH ISA BIN ALI SECONDARY BOYS SCHOOL
BHR-000326,327,SHAIKH KHALIFA TECHNOLOGY INSTITUTE
BHR-000327,328,SHAIKH MUHAMMAD BIN ISA PRIMARY BOYS SCHOOL
BHR-000328,329,SHAIKH MUHAMMAD BIN KHALIFA AAL KHALIFA PRIMARY & INTERMEDIATE BOYS SCHOOL
BHR-000329,330,SITRA PRIMARY BOYS SCHOOL
BHR-000330,331,TARIQ BIN ZIYAD INTERMEDIATE BOYS SCHOOL
BHR-000331,332,TUBLI PRIMARY BOYS SCHOOL
BHR-000332,333,UMM ALHASSAM PRIMARY BOYS SCHOOL
BHR-000333,334,WEST RIFFA PRIMARY BOYS SCHOOL
BHR-000334,335,AʻALI INTERMEDIATE GIRLS SCHOOL
BHR-000335,336,AʻALI PRIMARY GIRLS SCHOOL
BHR-000336,337,A'AMENA BINT WAHAB PRIMARY GIRLS SCHOOL
BHR-000337,338,AIN JALOOT PRIMARY GIRLS SCHOOL
BHR-000338,339,ʻAISHA UMM AL MOAMININ INTERMEDIATE GIRLS SCHOOL
BHR-000339,340,AL ʻAHAD AL ZAHER SECONDARY GIRLS SCHOOL
BHR-000340,341,AL ANDALUS PRIMARY GIRLS SCHOOL
BHR-000341,342,AL BUDAIYA PRIMARY & INTERMEDIATE GIRLS SCHOOL
BHR-000342,343,AL BUSAITEEN INTERMEDIATE GIRLS SCHOOL
BHR-000343,344,AL BUSAITEEN INTERMEDIATE GIRLS SCHOOL
BHR-000344,345,AL DAIH PRIMARY & INTERMEDIATE GIRLS SCHOOL
BHR-000345,346,AL DAIR PRIMARY & INTERMEDIATE GIRLS SCHOOL
BHR-000346,347,AL DIRAZ INTERMEDIATE GIRLS SCHOOL
BHR-000347,348,AL DIRAZ PRIMARY GIRLS SCHOOL
BHR-000348,349,AL ESTIQLAL SECONDARY GIRLS SCHOOL
BHR-000349,350,AL HOORA SECONDARY GIRLS SCHOOL
BHR-000350,351,AL KHALEEJ AL ARABI INTERMEDIATE GIRLS SCHOOL
BHR-000351,352,AL KHANSA PRIMARY GIRLS SCHOOL
BHR-000352,353,AL MAAREFA FEMALE SECONDARY GIRLS SCHOOL
BHR-000353,354,AL MANHAL PRIMARY GIRLS SCHOOL
BHR-000354,355,AL MUHARRAQ PRIMARY GIRLS SCHOOL
BHR-000355,356,AL MUHARRAQ SECONDARY GIRLS SCHOOL
BHR-000356,357,AL MUSTAQBAL PRIMARY GIRLS SCHOOL
BHR-000357,358,AL NABIH SALEH PRIMARY GIRLS SCHOOL
BHR-000358,359,AL NOOR SECONDARY GIRLS SCHOOL
BHR-000359,360,AL NUZHA PRIMARY GIRLS SCHOOL
BHR-000360,361,AL QADISIYAH PRIMARY GIRLS SCHOOL
BHR-000361,362,AL QAYRAWAN INTERMEDIATE GIRLS SCHOOL
BHR-000362,363,AL RAWDAH PRIMARY GIRLS SCHOOL
BHR-000363,364,AL SAFA PRIMARY GIRLS SCHOOL
BHR-000364,365,AL SALAM PRIMARY GIRLS SCHOOL
BHR-000365,366,AL SEHLA PRIMARY GIRLS SCHOOL
BHR-000366,367,AL SHOROOQ SECONDARY GIRLS SCHOOL
BHR-000367,368,AL UROOBA PRIMARY GIRLS SCHOOL
BHR-000368,369,AL WAFA SECONDARY GIRLS SCHOOL
BHR-000369,370,AL ZALLAQ PRIMARY & INTERMEDIATE GIRLS SCHOOL
BHR-000370,371,ALBILAD ALQADIM PRIMARY GIRLS SCHOOL
BHR-000371,372,ALHUNAINIA PRIMARY GIRLS SCHOOL
BHR-000372,373,ALQUDS PRIMARY GIRLS SCHOOL
BHR-000373,374,ALSALMANIYA PRIMARY GIRLS SCHOOL
BHR-000374,375,ALSANABIS INTERMEDIATE GIRLS SCHOOL
BHR-000375,376,ALSANABIS PRIMARY GIRLS SCHOOL
BHR-000376,377,ALTADHAMUN SECONDARY GIRLS SCHOOL
BHR-000377,378,ARAD INTERMEDIATE GIRLS SCHOOL
BHR-000378,379,ARAD PRIMARY GIRLS SCHOOL
BHR-000379,380,ASMA THAT ALNETAQAIN PRIMARY GIRLS SCHOOL
BHR-000380,381,BAIT AL HEKMA PRIMARY GIRLS SCHOOL
BHR-000381,382,BALQEES PRIMARY GIRLS SCHOOL
BHR-000382,383,BURI PRIMARY GIRLS SCHOOL
BHR-000383,384,BUSAITEEN PRIMARY GIRLS SCHOOL
BHR-000384,385,EAST RIFFA INTERMEDIATE GIRLS SCHOOL
BHR-000385,386,EAST RIFFA PRIMARY GIRLS SCHOOL
BHR-000386,387,FATIMAH AL ZAHRA' PRIMARY GIRLS SCHOOL
BHR-000387,388,FATIMAH BINT AL KHATTAB PRIMARY GIRLS SCHOOL
BHR-000388,389,FATIMAH BINT ASAD PRIMARY GIRLS SCHOOL
BHR-000389,390,GHARNATAH PRIMARY GIRLS SCHOOL
BHR-000390,391,GHAZI AL GOSAIBI SECONDARY GIRLS SCHOOL
BHR-000391,392,HAFSA UMM AL MOAMININ PRIMARY GIRLS SCHOOL
BHR-000392,393,HAJAR PRIMARY GIRLS SCHOOL
BHR-000393,394,HALIMAH AL SAADIYAH INTERMEDIATE GIRLS SCHOOL
BHR-000394,395,HAMAD TOWN INTERMEDIATE GIRLS SCHOOL
BHR-000395,396,HAMAD TOWN PRIMARY GIRLS SCHOOL
BHR-000396,397,HAMAD TOWN SECONDARY GIRLS SCHOOL
BHR-000397,398,HIDD INTERMEDIATE GIRLS SCHOOL
BHR-000398,399,HIDD SECONDARY GIRLS SCHOOL
BHR-000399,400,ISA TOWN INTERMEDIATE GIRLS SCHOOL
BHR-000400,401,ISA TOWN SECONDARY GIRLS SCHOOL
BHR-000401,402,JAW PRIMARY & INTERMEDIATE GIRLS SCHOOL
BHR-000402,403,JIDHAFS SECONDARY GIRLS SCHOOL
BHR-000403,404,KARRANAH PRIMARY GIRLS SCHOOL
BHR-000404,405,KHADIJAH AL KUBRA INTERMEDIATE GIRLS SCHOOL
BHR-000405,406,KHAWLA SECONDARY GIRLS SCHOOL
BHR-000406,407,KURTUBA INTERMEDIATE GIRLS SCHOOL
BHR-000407,408,MARIAM BINT OMRAN PRIMARY GIRLS SCHOOL
BHR-000408,409,NUSAIBA BINT KAAB PRIMARY GIRLS SCHOOL
BHR-000409,410,NUWAIDRAT PRIMARY GIRLS SCHOOL
BHR-000410,411,OMAYMA BINT AL NUAMAN SECONDARY GIRLS SCHOOL
BHR-000411,412,RABEAA ALADAWIYA PRIMARY GIRLS SCHOOL
BHR-000412,413,ROQUYA PRIMARY GIRLS SCHOOL
BHR-000413,414,SABAA PRIMARY GIRLS SCHOOL
