geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3
ECU-000996,10B00072,Escuela De Educacion Basica Carlos Elias Almeida,,ECU,Imbabura,Otavalo,San Luis
ECU-000997,10B00075,Cesar Antonio Mosquera,,ECU,Imbabura,Otavalo,Doctor Miguel Egas Cabezas (Peguche)
ECU-000998,10B00077,Unidad Educativa Comunitaria Intercultural Bilingüe Miguel Egas Cabezas,,ECU,Imbabura,Otavalo,Doctor Miguel Egas Cabezas (Peguche)
ECU-000999,10B00089,Escuela De Educacion Basica Manuel J Calle,,ECU,Imbabura,Otavalo,Eugenio Espejo (Calpaqui)
ECU-001000,10B00100,"Centro Educativo Comunitario Intercultural Bilingüe ""Provincia De Loja""",,ECU,Imbabura,Otavalo,Gonzalez Suarez
ECU-001001,10B00101,Escuela De Educacion Basica Tomas Rivadeneira,,ECU,Imbabura,Otavalo,Gonzalez Suarez
ECU-001002,10B00102,Uecib San Agustin De Cajas,,ECU,Imbabura,Otavalo,Gonzalez Suarez
ECU-001003,10B00105,Unidad Educativa  San Juan De Iluman,,ECU,Imbabura,Otavalo,San Juan De Iluman
ECU-001004,10B00108,Escuela De Educacion Basica Francisco Fueres Maygua,,ECU,Imbabura,Otavalo,San Jose De Quichinche
ECU-001005,10B00112,Escuela De Educacion Basica Estuardo Jaramillo Perez,,ECU,Imbabura,Otavalo,San Jose De Quichinche
ECU-001006,10B00115,Escuela De Educacion Basica Jaime Roldos Aguilera,,ECU,Imbabura,Otavalo,San Jose De Quichinche
ECU-001007,10B00118,Escuela De Educacion Basica Manuel Cordova Galarza,,ECU,Imbabura,Otavalo,San Jose De Quichinche
ECU-001008,10B00119,Escuela De Educacion Basica General Marco Aurelio Subia Martinez,,ECU,Imbabura,Otavalo,San Jose De Quichinche
ECU-001009,10B00120,Escuela De Educacion Basica Mayor Galo Larrea Torres,,ECU,Imbabura,Otavalo,San Jose De Quichinche
ECU-001010,10B00121,Escuela De Educacion Basica Dolores Cacuango Quilo,,ECU,Imbabura,Otavalo,San Jose De Quichinche
ECU-001011,10B00122,Escuela De Educacion Basica Duchicela,,ECU,Imbabura,Otavalo,San Jose De Quichinche
ECU-001012,10B00128,Unidad Educativa Provincia De Pichincha,,ECU,Imbabura,Otavalo,San Jose De Quichinche
ECU-001013,10B00130,Unidad Educativa Comunitaria Intercultural Bilingue Alejandro Chavez,,ECU,Imbabura,Otavalo,San Jose De Quichinche
ECU-001014,10B00138,Escuela De Educacion Basica Modesto Larrea Jijon,,ECU,Imbabura,Otavalo,San Juan De Iluman
ECU-001015,10B00140,Escuela De Educacion Basica San Jose De Jahuapamba,,ECU,Imbabura,Otavalo,San Juan De Iluman
ECU-001016,10B00142,Unidad  Educativa Comunitaria Intercultural Bilingüe  San Luis De Agualongo,,ECU,Imbabura,Otavalo,San Juan De Iluman
ECU-001017,10B00152,Unidad Educativa Galo Plaza Lasso,,ECU,Imbabura,Otavalo,San Pablo
ECU-001018,10B00155,Unidad Educativa Comunitaria Intercultural Bilingüe “Jose Pedro Maldonado Duque”,,ECU,Imbabura,Otavalo,San Rafael
ECU-001019,10B00160,Escuela De Educacion Basica Juan Francisco Cevallos,,ECU,Imbabura,Otavalo,San Rafael
ECU-001020,10B00162,Escuela Educacion Basica Atahualpa,,ECU,Imbabura,Pimampiro,Mariano Acosta
ECU-001021,10B00163,Uecib San Francisco De Palmira,,ECU,Imbabura,San Miguel De Urcuqui,La Merced De Buenos Aires
ECU-001022,10B00164,Unidad Educativa Intercultural Bilingue Saminay El Legado,,ECU,Imbabura,Otavalo,San Jose De Quichinche
ECU-001023,10B00168,Escuela  De Educacion Basica Ati Pillahuasu,,ECU,Imbabura,Otavalo,San Jose De Quichinche
ECU-001024,10B00216,Cecib Cerro Meza,,ECU,Imbabura,Ibarra,Lita
ECU-001025,10H00004,"Unidad Educativa ""Agustin Cueva Davila""",,ECU,Imbabura,Ibarra,Caranqui
ECU-001026,10H00007,Unidad Educativa Caranqui,,ECU,Imbabura,Ibarra,Caranqui
ECU-001027,10H00015,Madre Teresa Bacq,,ECU,Imbabura,Ibarra,Caranqui
ECU-001028,10H00017,Academia Militar San Diego,,ECU,Imbabura,Ibarra,Caranqui
ECU-001029,10H00018,Escuela De Educación Básica Fiscomisional Santa Marianita De Jesus,,ECU,Imbabura,Ibarra,Caranqui
ECU-001030,10H00021,Unidad Educativa Atahualpa,,ECU,Imbabura,Ibarra,Caranqui
ECU-001031,10H00022,Eduard Spranger,,ECU,Imbabura,Ibarra,Caranqui
ECU-001032,10H00026,Lidia Sevilla Leon,,ECU,Imbabura,Ibarra,Sagrario
ECU-001033,10H00029,Unidad Educativa Yahuarcocha,,ECU,Imbabura,Ibarra,Guayaquil De Alpachaca
ECU-001034,10H00030,Lincoln Larrea,,ECU,Imbabura,Ibarra,Guayaquil De Alpachaca
ECU-001035,10H00036,Escuela Educación Básica Republica Del Ecuador,,ECU,Imbabura,Ibarra,Sagrario
ECU-001036,10H00037,Colegio De Bachillerato Maria Angelica Idrobo,,ECU,Imbabura,Ibarra,San Francisco
ECU-001037,10H00039,Julio Zaldumbide,,ECU,Imbabura,Ibarra,Sagrario
ECU-001038,10H00042,Unidad Educativa Fiscomisional Nuestra Señora De Fatima,,ECU,Imbabura,Ibarra,Sagrario
ECU-001039,10H00046,Eeb Yaguachi,,ECU,Imbabura,Ibarra,Sagrario
ECU-001040,10H00050,Unidad Educativa Ana Luisa Leoro,,ECU,Imbabura,Ibarra,Sagrario
ECU-001041,10H00057,Unidad Educativa República De México,,ECU,Imbabura,Ibarra,Sagrario
ECU-001042,10H00061,Unidad Educativa Bartolome Ruiz,,ECU,Imbabura,Ibarra,Sagrario
ECU-001043,10H00063,Unidad Educativa 17 De Julio,,ECU,Imbabura,Ibarra,Sagrario
ECU-001044,10H00064,Galapagos,,ECU,Imbabura,Ibarra,Sagrario
ECU-001045,10H00065,Unidad Educativa Especializada Beatriz Jarrín,,ECU,Imbabura,Ibarra,Sagrario
ECU-001046,10H00066,"Unidad Educativa Fiscomisional Jose Maria Velaz, Sj – Irfeyal - Extension San Miguel De Ibarra",,ECU,Imbabura,Ibarra,Sagrario
ECU-001047,10H00070,Unidad Educativa 3 De Diciembre,,ECU,Imbabura,Ibarra,San Antonio
ECU-001048,10H00071,Colegio De Bachillerato Universitario Utn,,ECU,Imbabura,Ibarra,Sagrario
ECU-001049,10H00072,Unidad Educativa Particular Oviedo,,ECU,Imbabura,Ibarra,Sagrario
ECU-001050,10H00073,Unidad Educativa La Victoria,,ECU,Imbabura,Ibarra,Sagrario
ECU-001051,10H00074,Unidad Educativa Fiscomisional San Pedro Pascual,,ECU,Imbabura,Ibarra,Sagrario
ECU-001052,10H00079,Unidad Educativa Ciudad De Ibarra,,ECU,Imbabura,Ibarra,Sagrario
ECU-001053,10H00080,Colegio De Bachillerato Pcei Americano,,ECU,Imbabura,Ibarra,Sagrario
ECU-001054,10H00081,Maria Angelica Idrobo,,ECU,Imbabura,Ibarra,Sagrario
ECU-001055,10H00083,Unidad Educativa 28 De Abril,,ECU,Imbabura,Ibarra,Sagrario
ECU-001056,10H00084,Colegio De Bachillerato Pcei Manuela Espejo,,ECU,Imbabura,Ibarra,Sagrario
ECU-001057,10H00085,"Unidad Educativa Diocesana ""Bilingüe""",,ECU,Imbabura,Ibarra,Sagrario
ECU-001058,10H00086,Undad Educativa 28 De Septiembre,,ECU,Imbabura,Ibarra,Sagrario
ECU-001059,10H00090,Unidad Educativa Presidente Velasco Ibarra,,ECU,Imbabura,Ibarra,Sagrario
ECU-001060,10H00094,Unidad Educativa Fiscomisional Juan Pablo Ii,,ECU,Imbabura,Ibarra,Sagrario
ECU-001061,10H00097,Unidad Educativa Alfredo Albuja Galindo,,ECU,Imbabura,Ibarra,San Francisco
ECU-001062,10H00098,Unidad Educativa Fiscomisional Salesiana Sanchez Y Cifuentes,,ECU,Imbabura,Ibarra,San Francisco
ECU-001063,10H00099,Unidad Educativa Mariano Suarez Veintimilla,,ECU,Imbabura,Ibarra,San Francisco
ECU-001064,10H00101,Unidad Educativa Internacional Pensionado Atahualpa,,ECU,Imbabura,Ibarra,San Francisco
ECU-001065,10H00102,Unidad Educativa Fiscomisional La Inmaculada Concepcion,,ECU,Imbabura,Ibarra,San Francisco
ECU-001066,10H00103,Unidad Educativa San Juan Diego,,ECU,Imbabura,Ibarra,San Francisco
ECU-001067,10H00104,La Salle,,ECU,Imbabura,Ibarra,San Francisco
ECU-001068,10H00106,Unidad Educativa Victor Manuel Peñaherrera,,ECU,Imbabura,Ibarra,San Francisco
ECU-001069,10H00107,Sagrado Corazon De Jesus,,ECU,Imbabura,Ibarra,San Francisco
ECU-001070,10H00109,Unidad Educativa Abelardo Paez Torres,,ECU,Imbabura,Ibarra,San Francisco
ECU-001071,10H00115,Colegio De Bachillerato Pcei Viejo Luchador,,ECU,Imbabura,Ibarra,San Francisco
ECU-001072,10H00116,Escuela De Educacion Basica Alejandro Pasquel Monge,,ECU,Imbabura,Ibarra,San Francisco
