geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
CRI-003978,,PEDRO ROSALES REYES,,CRI,PUNTARENAS,PUNTARENAS,LEPANTO
CRI-003979,,LA ESPERANZA,,CRI,PUNTARENAS,PUNTARENAS,PAQUERA
CRI-003980,,ESTERO REAL,,CRI,PUNTARENAS,OSA,PUERTO CORTES
CRI-003981,,BOQUETE,,CRI,PUNTARENAS,BUENOS AIRES,COLINAS
CRI-003982,,LA CHACARITA,,CRI,PUNTARENAS,OSA,PIEDRAS BLANCAS
CRI-003983,,BAKÖM DI,,CRI,PUNTARENAS,BUENOS AIRES,BUENOS AIRES
CRI-003984,,MELICO SALAZAR ZÚÑIGA,,CRI,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO
CRI-003985,,SAN FERNANDO,,CRI,ALAJUELA,ALAJUELA,DESAMPARADOS
CRI-003986,,UNIÓN CAMPESINA,,CRI,LIMON,SIQUIRRES,PACUARITO
CRI-003987,,ARIZONA,,CRI,GUANACASTE,ABANGARES,SAN JUAN
CRI-003988,,ALPHA,,CRI,PUNTARENAS,COTO BRUS,SABALITO
CRI-003989,,SANTA CECILIA,,CRI,PUNTARENAS,OSA,SIERPE
CRI-003990,,NAMALDI,,CRI,LIMON,MATINA,MATINA
CRI-003991,,RAFAEL ARAYA SEGURA,,CRI,CARTAGO,TURRIALBA,PAVONES
CRI-003992,,LA UNIÓN,,CRI,GUANACASTE,SANTA CRUZ,CUAJINIQUIL
CRI-003993,,CHOCUACO,,CRI,PUNTARENAS,OSA,SIERPE
CRI-003994,,LA BONITA,,CRI,PUNTARENAS,OSA,PIEDRAS BLANCAS
CRI-003995,,LINDEROS,,CRI,GUANACASTE,SANTA CRUZ,TAMARINDO
CRI-003996,,LOS CEDROS,,CRI,GUANACASTE,CAÑAS,CAÑAS
CRI-003997,,LAUREL GALAN,,CRI,ALAJUELA,SAN CARLOS,POCOSOL
CRI-003998,,EL ROSARIO,,CRI,ALAJUELA,UPALA,CANALETE
CRI-003999,,CUESTA ROJA,,CRI,GUANACASTE,HOJANCHA,MONTE ROMO
CRI-004000,,SAN MARTIN,,CRI,SAN JOSE,PURISCAL,CHIRES
CRI-004001,,LAS MARIAS,,CRI,ALAJUELA,LOS CHILES,CAÑO NEGRO
CRI-004002,,SECTOR BARRANTES,,CRI,ALAJUELA,UPALA,UPALA
CRI-004003,,SAN LUIS,,CRI,SAN JOSE,TURRUBARES,SAN LUIS
CRI-004004,,CARIARE,,CRI,PUNTARENAS,CORREDORES,LAUREL
CRI-004005,,LA LIBERTAD,,CRI,PUNTARENAS,CORREDORES,LAUREL
CRI-004006,,I.D.A. BAGATZI,,CRI,GUANACASTE,BAGACES,BAGACES
CRI-004007,,CERBATANA,,CRI,SAN JOSE,PURISCAL,MERCEDES SUR
CRI-004008,,ALTO DE VERAGUA,,CRI,PUNTARENAS,BUENOS AIRES,BORUCA
CRI-004009,,CONCEPCION,,CRI,GUANACASTE,ABANGARES,COLORADO
CRI-004010,,SEMILLITAS,,CRI,CARTAGO,EL GUARCO,TEJAR
CRI-004011,,HOJANCHA,,CRI,LIMON,POCOCI,CARIARI
CRI-004012,,SAN VICENTE,,CRI,HEREDIA,SARAPIQUI,LA VIRGEN
CRI-004013,,LA PALMERA,,CRI,ALAJUELA,UPALA,UPALA
CRI-004014,,TRES HERMANOS,,CRI,GUANACASTE,ABANGARES,SIERRA
CRI-004015,,SAN MIGUEL,,CRI,GUANACASTE,TILARAN,QUEBRADA GRANDE
CRI-004016,,RIO DE ORO,,CRI,GUANACASTE,NANDAYURE,ZAPOTAL
CRI-004017,,DOMINGO FAUSTINO SARMIENTO,,CRI,PUNTARENAS,PUNTARENAS,CHOMES
CRI-004018,,COCOROCAS,,CRI,PUNTARENAS,PUNTARENAS,CHOMES
CRI-004019,,LA ISLITA,,CRI,PUNTARENAS,PUNTARENAS,PUNTARENAS
CRI-004020,,JOSE FABIO GARNIER UGALDE,,CRI,SAN JOSE,GOICOECHEA,RANCHO REDONDO
CRI-004021,,MONTEVERDE,,CRI,LIMON,TALAMANCA,CAHUITA
CRI-004022,,LOS VEGA,,CRI,SAN JOSE,PEREZ ZELEDON,CAJON
CRI-004023,,KJALARI,,CRI,CARTAGO,TURRIALBA,CHIRRIPO
CRI-004024,,SAN ANTONIO ABAJO,,CRI,SAN JOSE,PEREZ ZELEDON,PEJIBAYE
CRI-004025,,OJO DE AGUA,,CRI,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO
CRI-004026,,RAMADAS,,CRI,ALAJUELA,SAN MATEO,SAN MATEO
CRI-004027,,ESTRELLITAS,,CRI,ALAJUELA,SAN CARLOS,VENECIA
CRI-004028,,LA CUESTA,,CRI,SAN JOSE,LEON CORTES,SAN ANTONIO
CRI-004029,,EL TRIUNFO,,CRI,GUANACASTE,LIBERIA,NACASCOLO
CRI-004030,,ALTAMIRA,,CRI,PUNTARENAS,GOLFITO,PAVON
CRI-004031,,SAN JERÓNIMO,,CRI,SAN JOSE,PEREZ ZELEDON,SAN PEDRO
CRI-004032,,BARÚ,,CRI,SAN JOSE,PEREZ ZELEDON,BARU
CRI-004033,,NUEVA GUATEMALA,,CRI,GUANACASTE,CAÑAS,PALMIRA
CRI-004034,,LIMONAL,,CRI,GUANACASTE,BAGACES,MOGOTE
CRI-004035,,ZAPATON,,CRI,SAN JOSE,PURISCAL,CHIRES
CRI-004036,,SAN JOSECITO,,CRI,PUNTARENAS,OSA,BAHIA DRAKE
CRI-004037,,VISTALMAR,,CRI,GUANACASTE,SANTA CRUZ,SANTA CRUZ
CRI-004038,,PLAYA GRANDE,,CRI,GUANACASTE,SANTA CRUZ,CABO VELAS
