geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
ZAF-016083,103323926,USASAZO SECONDARY SCHOOL,"BANGISO DRIVE, Y SECTION SITE B, KHAYELITSHA, CITY OF CAPE TOWN, 7784",ZAF,Western Cape,METRO EAST,City of Cape Town Metropolitan Municipality
ZAF-016084,103328316,ST. JOHN'S RC PRIMARY SCHOOL,"MCMANUS STREET, KENSINGTON, , CITY OF CAPE TOWN, 7405",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016085,103353491,SINENJONGO HIGH SCHOOL,"FREEDOM WAY, JOE SLOVO PARK, MILNERTON, CITY OF CAPE TOWN, 7441",ZAF,Western Cape,METRO NORTH,City of Cape Town Metropolitan Municipality
ZAF-016086,103373443,INKWENKWEZI SECONDARY SCHOOL,"WAXBERRY STREET, DU NOON, KILLARNEY, CITY OF CAPE TOWN, 7441",ZAF,Western Cape,METRO NORTH,City of Cape Town Metropolitan Municipality
ZAF-016087,104001051,EASTRIDGE CHRISTIAN ACADEMY,"C/O 6TH AVE & KLIPSPRINGER RD, EASTRIDGE, MITCHELL'S PLAIN, CITY OF CAPE TOWN, 7798",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016088,104041331,UKHANYO PRIMARY SCHOOL,"POKELA ROAD, MASIPHUMELELE, , CITY OF CAPE TOWN, 7975",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016089,104304606,STAR OF THE SEA CONVENT PRIMARY SCHOOL,"MAIN ROAD, ST JAMES, , CITY OF CAPE TOWN, 7945",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016090,104309247,FISH HOEK PRIMARY SCHOOL,"UPPER RECREATION ROAD, FISH HOEK, , CITY OF CAPE TOWN, 7975",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016091,104309271,BAY PRIMARY SCHOOL,"JUNIOR CAMPUS, LOWER TENTH AVENUE, FISH HOEK, CITY OF CAPE TOWN, 7975",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016092,104309277,KOMMETJIE PRIMARY SCHOOL,"TEUBES ROAD, KOMMETJIE, , CITY OF CAPE TOWN, 7975",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016093,104309301,MUIZENBERG JUNIOR SCHOOL,"MAIN ROAD, MUIZENBERG, , CITY OF CAPE TOWN, 7945",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016094,104309316,PAUL GREYLING PRIMÊRE SKOOL,"SUNRAYWEG, VISHOEK, , CITY OF CAPE TOWN, 7975",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016095,104309347,SUN VALLEY PRIMARY SCHOOL,"BRIGANTINE AVENUE, SUN VALLEY, , CITY OF CAPE TOWN, 7975",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016096,104310265,MUIZENBERG HIGH SCHOOL,"DOVER ROAD, MUIZENBERG, , CITY OF CAPE TOWN, 7950",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
