geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3
PHL-000191,100917,Bagbag ES,,PHL,Region I,La Union,La Union
PHL-000192,100275,Bagbago ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000193,150502,Bagbagotot PS,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000194,100454,Baggoc-P. Quitiquit ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000195,100289,Bago ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000196,101792,Baguinay ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000197,100860,Bagulin CES,,PHL,Region I,La Union,La Union
PHL-000198,150013,Bagut ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000199,101090,Bail ES,,PHL,Region I,La Union,La Union
PHL-000200,101888,Bakit-Bakit ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000201,101556,Bakitiw ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000202,102040,Bal-loy Elementary School,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000203,102183,Balacad ES,,PHL,Region I,Laoag City,Ilocos Norte
PHL-000204,101863,BALACAG  ELEMENTARY SCHOOL,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000205,101323,Balagan ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000206,100368,Balaleng ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000207,101673,Balangay ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000208,101492,Balangobong Elementary School,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000209,101170,Balangobong ES,,PHL,Region I,Alaminos City,Pangasinan
PHL-000210,101769,Balangobong-San Pablo ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000211,100743,Balangsay PS,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000212,101416,Balani-Parongking ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000213,100875,Balaoan CES,,PHL,Region I,La Union,La Union
PHL-000214,101091,Balaoc ES,,PHL,Region I,La Union,La Union
PHL-000215,100162,Balaoi ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000216,100810,Balawarte ES,,PHL,Region I,La Union,La Union
PHL-000217,102238,Balaya Elementary School,,PHL,Region I,San Carlos City,Pangasinan
PHL-000218,101171,Balayang ES,,PHL,Region I,Alaminos City,Pangasinan
PHL-000219,101265,Balaybuaya ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000220,101061,Balballosa ES,,PHL,Region I,La Union,La Union
PHL-000221,102239,Baldog Elementary School,,PHL,Region I,San Carlos City,Pangasinan
PHL-000222,100973,Balecbec ES,,PHL,Region I,La Union,La Union
PHL-000223,101172,Baleyadaan ES,,PHL,Region I,Alaminos City,Pangasinan
PHL-000224,100090,Baligat ES,,PHL,Region I,Batac City,Ilocos Norte
PHL-000225,102000,Baligayan ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000226,101889,Balincanaway ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000227,100431,Balingaoan Elementary School,,PHL,Region I,Candon City,Ilocos Sur
PHL-000228,101339,Balingasay ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000229,101417,Balingit Constantino-Lasip ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000230,101629,Balingueo Elementary School,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000231,101770,Balisa ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000232,101535,Balite ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000233,102254,Balite Sur Elementary School,,PHL,Region I,San Carlos City,Pangasinan
PHL-000234,101227,Ballag ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000235,100909,Ballay ES,,PHL,Region I,La Union,La Union
PHL-000236,101655,Ballog ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000237,101503,Balococ ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000238,101324,Balogo ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000239,101617,Baloling ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000240,100557,Baluarte ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000241,101729,Balungao CS,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000242,101748,Baluyot ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
