COD. COLEGIO	 REGIONAL	 PROVINCIA	 DISTRITO	 CORREGIMIENTO	 NOMBRE COLEGIO	ÁREA	PROGRAMAS	 TIPO	APROBADO 1 GRADO HOMBRE	APROBADO 1 GRADO MUJER	APROBADO 2 GRADO HOMBRE	APROBADO 2 GRADO MUJER	APROBADO 3 GRADO HOMBRE	APROBADO 3 GRADO MUJER	APROBADO 4 GRADO HOMBRE	APROBADO 4 GRADO MUJER	APROBADO 5 GRADO HOMBRE	APROBADO 5 GRADO MUJER	APROBADO 6 GRADO HOMBRE	APROBADO 6 GRADO MUJER	REPROBADO 1 GRADO HOMBRE	REPROBADO 1 GRADO MUJER	REPROBADO 2 GRADO HOMBRE	REPROBADO 2 GRADO MUJER	REPROBADO 3 GRADO HOMBRE	REPROBADO 3 GRADO MUJER	REPROBADO 4 GRADO HOMBRE	REPROBADO 4 GRADO MUJER	REPROBADO 5 GRADO HOMBRE	REPROBADO 5 GRADO MUJER	REPROBADO 6 GRADO HOMBRE	REPROBADO 6 GRADO MUJER	DESERTORES 1 GRADO HOMBRE	DESERTORES 1 GRADO MUJER	DESERTORES 2 GRADO HOMBRE	DESERTORES 2 GRADO MUJER	DESERTORES 3 GRADO HOMBRE	DESERTORES 3 GRADO MUJER	DESERTORES 4 GRADO HOMBRE	DESERTORES 4 GRADO MUJER	DESERTORES 5 GRADO HOMBRE	DESERTORES 5 GRADO MUJER	DESERTORES 6 GRADO HOMBRE	DESERTORES 6 GRADO MUJER	DOCENTES	AULAS
3881	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	24 DE DICIEMBRE	C.E.B.G. JUAN E. JIMÉNEZ	RURAL	PRIMARIA UNIGRADO	OFICIAL	20	27	12	21	11	18	17	7	12	17	14	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	11
3885	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	24 DE DICIEMBRE	C.E.B.G. UNIÓN CENTROAMERICANA	URBANA	PRIMARIA UNIGRADO	OFICIAL	93	98	84	145	104	111	109	92	111	92	90	99	3	2	3	2	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	22
3887	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	PACORA	C.E.B.G. REPUBLICA DE HONDURAS	URBANA	PRIMARIA UNIGRADO	OFICIAL	78	84	95	80	71	76	86	87	83	82	84	75	9	2	8	7	17	9	7	3	11	0	2	1	7	9	2	1	0	0	2	2	5	0	0	1	37	24
3888	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	24 DE DICIEMBRE	C.E.B.G. VISTA HERMOSA	URBANA	PRIMARIA UNIGRADO	OFICIAL	69	56	56	72	53	59	64	71	83	62	64	59	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	14
3889	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	PACORA	C.E.B.G. VIRGEN DE GUADALUPE	URBANA	PRIMARIA UNIGRADO	OFICIAL	94	96	105	93	93	89	90	87	93	97	93	99	4	3	4	4	3	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	39	18
3891	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	PACORA	ALTOS DE PACORA (MULTIGRADO)	URBANA	PRIMARIA UNIGRADO	OFICIAL	3	6	3	2	3	1	1	4	7	2	2	3	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3
3892	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	24 DE DICIEMBRE	C.E.B.G. ALTOS DE CABUYA	URBANA	PRIMARIA UNIGRADO	OFICIAL	46	45	47	35	35	38	45	34	40	38	32	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	19	10
3894	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	24 DE DICIEMBRE	C.E.B.G. CERRO AZUL	URBANA	PRIMARIA UNIGRADO	OFICIAL	12	9	12	8	9	12	12	7	9	16	11	7	2	2	0	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6
3896	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	PACORA	UTIVE (MULTIGRADO)	RURAL	PRIMARIA UNIGRADO	OFICIAL	8	2	5	4	3	3	1	3	2	2	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3
3897	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	PACORA	C.E.B.G. LUIS N. HERAZO	URBANA	PRIMARIA UNIGRADO	OFICIAL	104	120	136	100	149	108	133	112	119	113	131	118	5	7	9	2	1	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	57	21
3898	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	24 DE DICIEMBRE	C.E.B.G. SANTA MARÍA DE LOS ÁNGELES	URBANA	PRIMARIA UNIGRADO	OFICIAL	104	99	103	111	101	93	113	104	103	81	107	90	11	13	14	12	3	3	1	0	3	0	0	0	1	0	1	0	1	0	1	0	1	1	2	0	43	20
3899	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	PACORA	PUEBLO NUEVO (MULTIGRADO)	RURAL	PRIMARIA UNIGRADO	OFICIAL	4	6	5	3	5	0	1	6	10	0	2	3	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
3900	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	SAN MARTIN	JUAN GILL (MULTIGRADO)	RURAL	PRIMARIA UNIGRADO	OFICIAL	4	6	7	4	5	8	6	6	5	5	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3
3904	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	SAN MARTIN	CARRIAZO (MULTIGRADO)	RURAL	PRIMARIA UNIGRADO	OFICIAL	4	3	3	2	5	1	1	4	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
3905	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	SAN MARTIN	C.E.B.G. LA MESA	URBANA	PRIMARIA UNIGRADO	OFICIAL	24	28	25	33	23	31	34	17	19	30	30	38	2	3	1	1	4	1	1	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	21	13
3906	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	SAN MARTIN	RÍO INDIO (MULTIGRADO)	RURAL	PRIMARIA UNIGRADO	OFICIAL	0	1	3	0	1	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
3907	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	SAN MARTIN	SAN MIGUEL (MULTIGRADO)	URBANA	PRIMARIA UNIGRADO	OFICIAL	4	5	6	5	6	5	4	3	4	6	4	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3
3908	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	SAN MARTIN	LA CHAPA (MULTIGRADO)	RURAL	PRIMARIA UNIGRADO	OFICIAL	2	2	1	1	0	0	1	0	0	1	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
3909	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	TOCUMEN	C.E.B.G. DR. RICARDO J. ALFARO	URBANA	PRIMARIA UNIGRADO	OFICIAL	195	180	178	155	190	168	174	183	175	177	173	171	17	9	4	4	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	109	36
3916	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	LAS MAÑANITAS	C.E.B.G. GÉNESIS	URBANA	PRIMARIA UNIGRADO	OFICIAL	24	30	32	16	28	18	30	27	18	27	21	23	1	1	2	2	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	12	6
3940	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	TOCUMEN	ESCUELA BILINGÜE SECTOR SUR	URBANA	PRIMARIA UNIGRADO	OFICIAL	64	67	63	57	54	55	56	67	54	47	52	56	7	7	4	2	4	4	1	1	4	0	0	0	3	5	1	4	0	1	0	2	0	0	0	0	46	14
3941	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	TOCUMEN	C.E.B.G. NUEVO BELÉN	URBANA	PRIMARIA UNIGRADO	OFICIAL	97	93	96	97	83	105	104	90	95	90	88	75	6	5	3	2	6	1	0	0	0	2	0	0	0	1	1	0	1	0	4	2	0	0	0	0	71	24
3942	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	TOCUMEN	C.E.B.G. EMPERATRIZ TABOADA	URBANA	PRIMARIA UNIGRADO	OFICIAL	82	99	103	81	108	104	91	112	97	89	108	77	4	1	6	4	6	3	5	1	0	0	0	0	2	1	5	1	2	2	1	0	1	1	1	0	56	23
3943	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	LAS MAÑANITAS	C.E.B.G. CIUDAD JARDÍN LAS MAÑANITAS	URBANA	PRIMARIA UNIGRADO	OFICIAL	120	126	115	124	125	116	114	128	126	113	112	105	6	3	4	4	5	3	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	54	28
3944	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	LAS MAÑANITAS	ESCUELA BILINGÜE DE LOS PAÍSES BAJOS	URBANA	PRIMARIA UNIGRADO	OFICIAL	93	79	104	73	101	80	102	94	86	96	86	69	6	5	8	3	4	2	2	0	0	0	0	0	1	0	2	2	0	0	0	0	0	1	1	0	55	19
4081	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	ANCÓN	ESCUELA BILINGÜE KUNA NEGA	URBANA	PRIMARIA UNIGRADO	OFICIAL	84	77	82	76	77	80	73	64	67	49	64	80	12	5	11	8	13	7	7	3	4	3	2	1	1	0	0	0	0	0	3	0	0	0	0	0	33	18
4989	PANAMÁ CENTRO	PANAMÁ	PANAMÁ	EL CHORRILLO	C.E.B.G. DR. MANUEL A. GUERRERO	URBANA	PRIMARIA UNIGRADO	OFICIAL	51	54	43	54	45	39	28	37	42	42	35	39	9	2	10	2	7	1	6	1	2	0	0	0	9	1	1	1	0	0	2	0	1	2	0	0	20	21
