geo_id,longitude,latitude
PRY-000108,-54.7245101696219,-25.5506908615916
PRY-000109,-54.7165132546543,-25.4553968645758
PRY-000110,-54.7106408204238,-25.4982688349691
PRY-000111,-54.6716929511573,-25.49323270749
PRY-000112,-54.6962540596726,-25.4605047963685
PRY-000113,-54.7271802315706,-25.4829293227068
PRY-000114,-54.7017609660328,-25.4527115238865
PRY-000115,-54.6968120085311,-25.5167627781603
PRY-000116,-54.7212486494716,-25.503741396878
PRY-000117,-54.6852910274121,-25.4904514802302
PRY-000118,-54.6526959579951,-25.4974606442984
PRY-000119,-54.6410008219987,-25.4077291122965
PRY-000120,,
PRY-000121,-54.6962010669097,-25.5122944063994
PRY-000122,,
PRY-000123,-54.6306706839384,-25.5201124708447
PRY-000124,-54.6531408836514,-25.5129377778898
PRY-000125,-54.6138499441441,-25.5075827891673
PRY-000126,,
PRY-000127,,
PRY-000128,-54.6145419461236,-25.5082980465206
PRY-000129,-54.6219245684782,-25.5293392373585
PRY-000130,-54.6491287724337,-25.4763555919452
PRY-000131,-54.6517087228293,-25.4638331409005
PRY-000132,-54.6854256242588,-25.4912117743339
PRY-000133,-54.6589956240552,-25.525423711033
PRY-000134,-54.666978733057,-25.4834731269086
PRY-000135,,
PRY-000136,-54.6934507760316,-25.5214033244575
PRY-000137,-54.6502464395667,-25.4863739662378
PRY-000138,-54.610957575022,-25.5386194270728
PRY-000139,,
PRY-000140,-54.6359628453446,-25.4886083541941
PRY-000141,,
PRY-000142,-54.6090563001985,-25.5306550056594
PRY-000143,,
PRY-000144,-54.599930051539,-25.5338721946926
PRY-000145,-54.6402984144632,-25.5364146833369
PRY-000146,-54.6238060197879,-25.5343157681208
PRY-000147,-54.6108157608667,-25.5292125705355
PRY-000148,-54.6135854731107,-25.5068744922983
PRY-000149,-54.6126049887724,-25.5322923643226
PRY-000150,-54.6063335223495,-25.5385258457803
PRY-000151,-54.6407618988171,-25.5249325644188
PRY-000152,-54.6445649002413,-25.5161125600608
PRY-000153,-54.6690455335259,-25.502099049144
PRY-000154,-54.6182744149428,-25.5277997327857
PRY-000155,-54.6368031962484,-25.5096876884973
PRY-000156,-54.6554926048517,-25.4994007999005
PRY-000157,-54.6297094585188,-25.5244833430399
PRY-000158,-54.6139031655705,-25.5134412112326
PRY-000159,-54.6855058343131,-25.4621047164297
PRY-000160,,
PRY-000161,-54.6659863085337,-25.4756500554618
PRY-000162,-54.6054620679686,-25.5358220117199
PRY-000163,-54.6121103477481,-25.5170853782566
PRY-000164,-54.6458025391661,-25.4771325991963
PRY-000165,-54.6305966639012,-25.5208423445457
PRY-000166,-54.6712557345669,-25.5128026191602
PRY-000167,-54.6912177545147,-25.4576727441684
PRY-000168,-54.6704409759078,-25.5086378257972
PRY-000169,-54.7218406577455,-25.47710594263
PRY-000170,-54.635160502297,-25.5052025385005
PRY-000171,-54.7038424805705,-25.4650825496878
PRY-000172,-54.6449234113336,-25.5094664310797
PRY-000173,,
PRY-000174,-54.6423006932213,-25.4833401507347
PRY-000175,-54.6540749322924,-25.5313921656503
PRY-000176,-54.6427335837496,-25.5243144677178
PRY-000177,-54.6753245171172,-25.4962417711621
PRY-000178,-54.6172016115503,-25.5221864663711
PRY-000179,-54.6143498970338,-25.5205244817725
PRY-000180,-54.6871538879642,-25.5011855077051
PRY-000181,-54.6126358526563,-25.5176715752041
PRY-000182,-54.6444194237253,-25.4945208891721
PRY-000183,-54.615531749736,-25.5206159298382
PRY-000184,-54.6636793420484,-25.5219062720882
PRY-000185,-54.7266975094596,-25.4874438624658
PRY-000186,-54.6359303712362,-25.5278330990951
PRY-000187,-54.6609624227111,-25.5368455452257
PRY-000188,-54.6097881913062,-25.521334611588
PRY-000189,-54.6278720339946,-25.4980357627638
PRY-000190,-54.6799018283444,-25.4873065457951
PRY-000191,-54.6810832399324,-25.4884444359698
PRY-000192,-54.6896133350875,-25.4895990245663
PRY-000193,-54.6791729980528,-25.4921147870014
PRY-000194,-54.6830987296235,-25.484983309089
PRY-000195,-54.6904235796832,-25.4664604717653
PRY-000196,-54.6753175296018,-25.4831723274914
PRY-000197,-54.6850222263587,-25.4494518619257
PRY-000198,-54.6672206239853,-25.4833054859845
PRY-000199,-54.6687675385896,-25.5046489123207
PRY-000200,-54.6768322395364,-25.5393095225174
PRY-000201,-54.6929892512037,-25.5028840777616
PRY-000202,-54.6900622278546,-25.5201855972551
PRY-000203,-54.702689259497,-25.5319733706844
PRY-000204,-54.6824656727104,-25.5272772028617
PRY-000205,-54.6776174866407,-25.5042208054023
