geo_id,longitude,latitude
SLE-000058,-12.14340705,7.61412531
SLE-000059,-12.1442896,7.61759146
SLE-000060,-12.14771096,7.61372001
SLE-000061,-12.11036347,7.61976045
SLE-000062,-12.10188194,7.64483764
SLE-000063,-12.1498981,7.65942361
SLE-000064,-12.14372343,7.61420871
SLE-000065,-12.21366502,7.67050269
SLE-000066,-12.28030467,7.59221842
SLE-000067,-12.24630585,7.66922212
SLE-000068,-12.21875324,7.6050112
SLE-000069,-12.20733125,7.64176558
SLE-000070,-12.25955641,7.5423104
SLE-000071,-11.97253814,7.52814614
SLE-000072,-12.06442376,7.66805511
SLE-000073,-12.06442376,7.66805511
SLE-000074,-12.01463606,7.53188921
SLE-000075,-12.03593746,7.57425884
SLE-000076,-11.97029982,7.32029869
SLE-000077,-11.98158207,7.20768843
SLE-000078,-12.01633563,7.24652974
SLE-000079,-11.96377235,7.26613736
SLE-000080,-12.22886065,7.44803943
SLE-000081,-12.31584443,7.4143829
SLE-000082,-12.28125415,7.38660414
SLE-000083,-12.31993586,7.41895708
SLE-000084,-12.14752182,7.36312759
SLE-000085,-12.26331479,7.37767554
SLE-000086,-12.11540524,7.35168257
SLE-000087,-12.13148702,7.26655148
SLE-000088,-12.74122967,7.62416458
SLE-000089,-12.70406125,7.6220256
SLE-000090,-12.60115289,7.63645239
SLE-000091,-12.08202032,7.61591135
SLE-000092,-12.07299114,7.58408594
SLE-000093,-12.07952787,7.60556833
SLE-000094,-12.09946481,7.54490018
SLE-000095,-12.07224595,7.47530824
SLE-000096,-12.10286693,7.61287122
SLE-000097,-12.09152964,7.56584341
SLE-000098,-12.15073426,7.43366563
SLE-000099,-12.14741003,7.45781256
SLE-000100,-12.11318966,7.40306637
SLE-000101,-12.13007015,7.43779673
SLE-000102,-12.12970605,7.44228465
SLE-000103,-12.17229556,7.49975967
SLE-000104,-12.07944117,7.41532266
SLE-000105,-12.51276553,7.52648178
SLE-000106,-12.50160535,7.5254603
SLE-000107,-12.50895978,7.52528528
SLE-000108,-12.50355526,7.52495628
SLE-000109,-12.54131536,7.93860337
SLE-000110,-12.66497952,8.23439705
SLE-000111,-12.68388551,8.22678788
SLE-000112,-12.09377496,8.03523852
SLE-000113,-12.33960566,8.23317637
SLE-000114,-12.22500859,8.13094378
SLE-000115,-12.2178964,8.31346864
SLE-000116,-12.30777241,8.15724387
SLE-000117,-12.43220985,8.16069981
SLE-000118,-12.44272431,8.16448049
SLE-000119,-12.45485826,8.16177364
SLE-000120,-12.37114155,8.11719569
SLE-000121,-12.42463794,8.16621829
SLE-000122,-12.05599409,8.09510717
SLE-000123,-11.99783035,8.15155576
SLE-000124,-11.99434242,8.12748905
SLE-000125,-11.97051877,8.13614661
SLE-000126,-12.49913756,8.24562515
SLE-000127,-12.10173897,8.21747176
SLE-000128,-12.05651127,8.12057926
SLE-000129,-12.01472468,8.10853079
SLE-000130,-12.04089313,8.05450071
SLE-000131,-12.33970706,7.84067565
