geo_id,longitude,latitude
NIG-000072,9.3088,9.0684
NIG-000073,9.2881,9.0209
NIG-000074,8.7908,9.7065
NIG-000075,7.6797,9.0306
NIG-000076,7.4624,8.9901
NIG-000077,9.7271,9.8623
NIG-000078,7.48992594,9.03654108
NIG-000079,6.99556214,4.7921986
NIG-000080,6.88901,9.003625
NIG-000081,6.98045666666667,9.20571166666667
NIG-000082,6.99484833333333,9.07635
NIG-000083,7.01969833333333,9.11386
NIG-000084,6.73447904,6.19321956
NIG-000085,6.72727069,6.19127388
NIG-000086,6.72241724,6.19823906
NIG-000087,6.71633728,6.20136583
NIG-000088,7.06207666666667,9.12948666666667
NIG-000089,7.068,4.9726
NIG-000090,7.1053,5.0544
NIG-000091,7.1547,5.2304
NIG-000092,7.02024231,4.96808728
NIG-000093,6.99490472131984,5.48168588204421
NIG-000094,7.05606661,9.06172427
NIG-000095,6.82104791,5.10009364
NIG-000096,6.95138781,5.08328511
NIG-000097,6.91442739,4.98022618
NIG-000098,7.0429,5.0072
NIG-000099,7.14057843,4.87945734
NIG-000100,7.12526942,4.86830628
NIG-000101,8.77859157,9.65696373
NIG-000102,6.90578996,4.89400183
NIG-000103,7.01414247,4.86229501
NIG-000104,6.7343,5.0564
NIG-000105,6.8058,4.9567
NIG-000106,6.45113757,4.92224085
NIG-000107,7.01839332,4.78464003
NIG-000108,6.8139,4.9717
NIG-000109,6.8105,4.9792
NIG-000110,6.8044,4.9621
NIG-000111,7.06051705,4.77644319
NIG-000112,6.819,5.0041
NIG-000113,8.72869201,9.70244561
NIG-000114,8.79258941,9.71520341
NIG-000115,8.83394911,9.74678815
NIG-000116,8.85055443,9.85146346
NIG-000117,6.48322158,4.80671171
NIG-000118,7.38006792,4.65412173
NIG-000119,7.42581506,4.66402286
NIG-000120,7.48266837,4.72739904
NIG-000121,7.0403239170561,5.48190270773014
NIG-000122,6.266013,4.93103823
NIG-000123,7.15933922,4.85854877
NIG-000124,6.30037876,4.902516
NIG-000125,9.3564622,8.56992711
NIG-000126,9.38730936,8.60984425
NIG-000127,9.30166533,8.6163661
NIG-000128,7.03984854,4.75217943
NIG-000129,7.03572184,4.75607274
NIG-000130,8.91765742,9.87953998
NIG-000131,8.92613199,9.77501746
NIG-000132,8.85956854,9.86272819
NIG-000133,8.87640512,9.87605778
NIG-000134,7.1659,5.1939
NIG-000135,9.21209364,7.22565028
NIG-000136,9.26804724,7.12456842
NIG-000137,9.01963429,7.51672477
NIG-000138,9.19851418,7.46232497
NIG-000139,9.22769161,7.33437345
NIG-000140,9.21101403,7.2101591
NIG-000141,9.21289692,7.07453617
NIG-000142,8.99431521,9.28564559
NIG-000143,8.96907785,9.3591075
NIG-000144,8.93711846,9.33229742
NIG-000145,9.10446852,7.18951573
NIG-000146,9.25328839,7.21302393
NIG-000147,9.2846,7.1294
NIG-000148,9.13537892,7.23579897
NIG-000149,9.23511706,7.30312164
NIG-000150,9.01471273,7.53523031
NIG-000151,9.21424961,7.22040132
NIG-000152,7.1621,5.125
NIG-000153,9.26403296,7.11465365
NIG-000154,9.22185334,7.19889394
NIG-000155,7.0691,5.0288
NIG-000156,7.0679,5.0132
NIG-000157,7.1891,5.139
NIG-000158,9.08777647,7.20637574
NIG-000159,9.22396696,7.20646623
NIG-000160,9.10195353,7.48680823
NIG-000161,6.26901817,4.91415978
NIG-000162,7.04074833334296,5.48048687108124
NIG-000163,9.89279328,7.69755691
