FID,the_geom,Educ_Code,Educ_Name,Adm2_Name,Adm3_Name,Adm4_Name,Adm4_Code,Educ_Type,Latitude,Longitude,Accuracy,ADM4_COD_1,ADM3_NAM_1,ADM2_NAM_1,NUMBER
sle_educ_pt_steward_schools.16684,POINT (-12.310605786999929 7.76495895100004),SLE_Prim_0034,United Brethren Church Primary School- Mogbwemo,Bonthe,Imperri,Babum,SLE03020401,Primary School,7.76495895,-12.31060579,Needs Validation - STEWARD Project,SLE03020401,Imperri,Bonthe,34
sle_educ_pt_steward_schools.16685,POINT (-12.308576033999941 7.75647938700007),SLE_Scho_0035,Forum for African Women Educationalist School - Mogbwemo,Bonthe,Imperri,Babum,SLE03020403,School,7.75647939,-12.30857603,Needs Validation - STEWARD Project,SLE03020403,Imperri,Bonthe,35
sle_educ_pt_steward_schools.16686,POINT (-12.306689314999971 7.695411352000065),SLE_Prim_0036,Kanakalay Islamic Primary School - Mbelleh A (Yangatoke),Bonthe,Imperri,Bigo,SLE03020403,Primary School,7.69541135,-12.30668932,Needs Validation - STEWARD Project,SLE03020403,Imperri,Bonthe,36
sle_educ_pt_steward_schools.16687,POINT (-12.276063522999948 7.6642341560000204),SLE_Prim_0037,Kankalay Islamic Primary School - Kanga,Bonthe,Imperri,Bigo,SLE03020403,Primary School,7.66423416,-12.27606352,Needs Validation - STEWARD Project,SLE03020403,Imperri,Bonthe,37
sle_educ_pt_steward_schools.16688,POINT (-12.304498793999926 7.696599366000044),SLE_Prim_0038,Roman Catholic Primary School - Mbelleh A (Yangatoke),Bonthe,Imperri,Bigo,SLE03020403,Primary School,7.69659937,-12.30449879,Needs Validation - STEWARD Project,SLE03020403,Imperri,Bonthe,38
sle_educ_pt_steward_schools.16689,POINT (-12.301717340999971 7.652188204000026),SLE_Prim_0039,Roman Catholic Primary School - Nyandehun,Bonthe,Imperri,Bigo,SLE03020403,Primary School,7.6521882,-12.30171734,Needs Validation - STEWARD Project,SLE03020403,Imperri,Bonthe,39
sle_educ_pt_steward_schools.16690,POINT (-12.309299876999944 7.699430699000061),SLE_Prim_0040,United Brethren Church Priamry School - Madina,Bonthe,Imperri,Bigo,SLE03020403,Primary School,7.6994307,-12.30929988,Needs Validation - STEWARD Project,SLE03020403,Imperri,Bonthe,40
sle_educ_pt_steward_schools.16691,POINT (-12.311510743999975 7.709375163000061),SLE_Prim_0041,United Brethren Church Primary School - Gbangbama,Bonthe,Imperri,Bigo,SLE03020403,Primary School,7.70937516,-12.31151074,Needs Validation - STEWARD Project,SLE03020403,Imperri,Bonthe,41
sle_educ_pt_steward_schools.16692,POINT (-12.274260939999976 7.66568653500002),SLE_Prim_0042,United Brethren Church Primary School - Mokaba,Bonthe,Imperri,Bigo,SLE03020403,Primary School,7.66568654,-12.27426094,Needs Validation - STEWARD Project,SLE03020403,Imperri,Bonthe,42
sle_educ_pt_steward_schools.16693,POINT (-12.339833412999951 7.596029949000069),SLE_Scho_0043,Mesima,Bonthe,Imperri,Moimaligie,SLE03020405,School,7.59602995,-12.33983341,Needs Validation - STEWARD Project,SLE03020405,Imperri,Bonthe,43
sle_educ_pt_steward_schools.16694,POINT (-12.321533920999968 7.640691385000025),SLE_Prim_0044,Islamic Call Society Primary School - Teissor,Bonthe,Imperri,Moimaligie,SLE03020405,Primary School,7.64069138,-12.32153392,Needs Validation - STEWARD Project,SLE03020405,Imperri,Bonthe,44
sle_educ_pt_steward_schools.16695,POINT (-12.307677102999946 7.578220479000038),SLE_Prim_0045,Kankalay Islamic Primary School Yarg Keiga,Bonthe,Imperri,Moimaligie,SLE03020405,Primary School,7.57822048,-12.3076771,Needs Validation - STEWARD Project,SLE03020405,Imperri,Bonthe,45
sle_educ_pt_steward_schools.16696,POINT (-12.337360326999942 7.572592847000067),SLE_Prim_0046,Roman Catholic Primary School - Yargoi,Bonthe,Imperri,Moimaligie,SLE03020405,Primary School,7.57259285,-12.33736033,Needs Validation - STEWARD Project,SLE03020405,Imperri,Bonthe,46
sle_educ_pt_steward_schools.16697,POINT (-12.331799007999962 7.648896567000065),SLE_Prim_0047,United Brethren Church Primary School - Victoria,Bonthe,Imperri,Moimaligie,SLE03020405,Primary School,7.64889657,-12.33179901,Needs Validation - STEWARD Project,SLE03020405,Imperri,Bonthe,47
sle_educ_pt_steward_schools.16698,POINT (-12.384771145999935 7.645317341000066),SLE_Prim_0048,St. Michael Primary School R.C.,Bonthe,Imperri,Sokrapan,SLE03020406,Primary School,7.64531734,-12.38477115,Needs Validation - STEWARD Project,SLE03020406,Imperri,Bonthe,48
sle_educ_pt_steward_schools.16699,POINT (-12.288497785999937 7.483522524000023),SLE_Prim_0049,C.O.R.M. Primary School,Bonthe,Jong,Basiaka,SLE03020501,Primary School,7.48352252,-12.28849779,Needs Validation - STEWARD Project,SLE03020501,Jong,Bonthe,49
sle_educ_pt_steward_schools.16700,POINT (-12.219384910999963 7.47778783800004),SLE_Prim_0050,Community Primary School,Bonthe,Jong,Basiaka,SLE03020501,Primary School,7.47778784,-12.21938491,Needs Validation - STEWARD Project,SLE03020501,Jong,Bonthe,50
sle_educ_pt_steward_schools.16701,POINT (-12.199635612999941 7.491333161000057),SLE_Prim_0051,R.C. Primary School,Bonthe,Jong,Basiaka,SLE03020501,Primary School,7.49133316,-12.19963561,Needs Validation - STEWARD Project,SLE03020501,Jong,Bonthe,51
sle_educ_pt_steward_schools.16702,POINT (-12.251224350999962 7.502356698000028),SLE_Prim_0052,S.L.U.I. M. Primary School,Bonthe,Jong,Basiaka,SLE03020501,Primary School,7.5023567,-12.25122435,Needs Validation - STEWARD Project,SLE03020501,Jong,Bonthe,52
sle_educ_pt_steward_schools.16703,POINT (-12.182759361999956 7.6130911000000765),SLE_Seco_0053,Timbo (A) Centennial Secondary School,Bonthe,Jong,Bayengbe,SLE03020502,Secondary School,7.6130911,-12.18275936,Needs Validation - STEWARD Project,SLE03020502,Jong,Bonthe,53
sle_educ_pt_steward_schools.16704,POINT (-12.17926409599994 7.613068350000049),SLE_Prim_0054,Fawe Primary School,Bonthe,Jong,Bayengbe,SLE03020502,Primary School,7.61306835,-12.1792641,Needs Validation - STEWARD Project,SLE03020502,Jong,Bonthe,54
sle_educ_pt_steward_schools.16705,POINT (-12.173199585999953 7.61128504900006),SLE_Prim_0055,I.C.S Primary School and Secondary School,Bonthe,Jong,Bayengbe,SLE03020502,Primary School,7.61128505,-12.17319959,Needs Validation - STEWARD Project,SLE03020502,Jong,Bonthe,55
sle_educ_pt_steward_schools.16706,POINT (-12.18169520899994 7.611033211000063),SLE_Prim_0056,U.B.C. Primary School,Bonthe,Jong,Bayengbe,SLE03020502,Primary School,7.61103321,-12.18169521,Needs Validation - STEWARD Project,SLE03020502,Jong,Bonthe,56
sle_educ_pt_steward_schools.16707,POINT (-12.153990498999974 7.560771694000039),SLE_Prim_0057,Segbwema (A) B.N.D.E.C. School,Bonthe,Jong,Beyinga,SLE03020503,Primary School,7.56077169,-12.1539905,Needs Validation - STEWARD Project,SLE03020503,Jong,Bonthe,57
sle_educ_pt_steward_schools.16708,POINT (-12.189435551999964 7.548569225000051),SLE_Prim_0058,U.B.C. Primary School,Bonthe,Jong,Beyinga,SLE03020503,Primary School,7.54856922,-12.18943555,Needs Validation - STEWARD Project,SLE03020503,Jong,Bonthe,58
sle_educ_pt_steward_schools.16709,POINT (-12.143407048999961 7.614125308000041),SLE_Prim_0059,Lauwa (D) Primary School,Bonthe,Jong,Falewuja,SLE03020504,Primary School,7.61412531,-12.14340705,Needs Validation - STEWARD Project,SLE03020504,Jong,Bonthe,59
sle_educ_pt_steward_schools.16710,POINT (-12.144289603999937 7.617591460000028),SLE_Prim_0060,Luawa (A) I.C.Islamic Primary School,Bonthe,Jong,Falewuja,SLE03020504,Primary School,7.61759146,-12.1442896,Needs Validation - STEWARD Project,SLE03020504,Jong,Bonthe,60
sle_educ_pt_steward_schools.16711,POINT (-12.14771096499993 7.613720006000051),SLE_Prim_0061,R.C. Primary School,Bonthe,Jong,Falewuja,SLE03020504,Primary School,7.61372001,-12.14771096,Needs Validation - STEWARD Project,SLE03020504,Jong,Bonthe,61
sle_educ_pt_steward_schools.16712,POINT (-12.110363469999982 7.619760453000026),SLE_Prim_0062,Semabu ( C) R.C. Primary School,Bonthe,Jong,Falewuja,SLE03020504,Primary School,7.61976045,-12.11036347,Needs Validation - STEWARD Project,SLE03020504,Jong,Bonthe,62
sle_educ_pt_steward_schools.16713,POINT (-12.101881938999952 7.644837639000059),SLE_Prim_0063,St. Thomas Primary School/Church,Bonthe,Jong,Falewuja,SLE03020504,Primary School,7.64483764,-12.10188194,Needs Validation - STEWARD Project,SLE03020504,Jong,Bonthe,63
sle_educ_pt_steward_schools.16714,POINT (-12.149898101999952 7.659423607000065),SLE_Prim_0064,U.B.C. Primary School,Bonthe,Jong,Falewuja,SLE03020504,Primary School,7.65942361,-12.1498981,Needs Validation - STEWARD Project,SLE03020504,Jong,Bonthe,64
sle_educ_pt_steward_schools.16715,POINT (-12.143723428999976 7.614208708000035),SLE_Prim_0065,U.B.C. Primary School - Manse,Bonthe,Jong,Falewuja,SLE03020504,Primary School,7.61420871,-12.14372343,Needs Validation - STEWARD Project,SLE03020504,Jong,Bonthe,65
sle_educ_pt_steward_schools.16716,POINT (-12.21366502199993 7.67050269300006),SLE_Prim_0066,Mosavie (B) D.E.C. Priamry School,Bonthe,Jong,Kumabeh - Kwe,SLE03020505,Primary School,7.67050269,-12.21366502,Needs Validation - STEWARD Project,SLE03020505,Jong,Bonthe,66
sle_educ_pt_steward_schools.16717,POINT (-12.280304669999964 7.592218415000048),SLE_Prim_0067,Community Primary School,Bonthe,Jong,Landi - Ngere,SLE03020506,Primary School,7.59221842,-12.28030467,Needs Validation - STEWARD Project,SLE03020506,Jong,Bonthe,67
sle_educ_pt_steward_schools.16718,POINT (-12.246305848999953 7.669222125000033),SLE_Prim_0068,U.B.C. Primary School,Bonthe,Jong,Landi - Ngere,SLE03020506,Primary School,7.66922212,-12.24630585,Needs Validation - STEWARD Project,SLE03020506,Jong,Bonthe,68
